id,n_ccr
CA1300514,2
CA1300517,2
CA1300546,1
CA1300549,1
CA1300553,2
CA1300554,2
CA1300555,1
CA1300556,2
CA1300560,3
CA1300572,2
CA1300588,1
CA1300616,2
CA1300620,2
CA1300622,2
CA1300626,2
CA1300627,4
CA1300628,2
CA1300629,1
CA1300632,4
CA1300644,2
CA1300652,1
CA1300654,4
CA1300661,2
CA1300662,4
CA1300664,2
CA1300668,2
CA1300669,2
CA1310001,1
CA1310013,1
CA1310300,4
CA1310301,4
CA1400004,1
CA1400006,1
CA1400007,1
CA1400009,4
CA1400012,4
CA1400013,4
CA1400014,4
CA1400020,1
CA1400027,1
CA1400035,4
CA1400036,1
CA1400040,4
CA1400044,4
CA1400047,4
CA1400049,4
CA1400055,1
CA1400059,1
CA1400067,4
CA1400069,4
CA1400072,2
CA1400088,4
CA1400102,4
CA1400136,4
CA1400181,4
CA1400182,4
CA1400183,4
CA1400184,4
CA1400185,4
CA1400193,4
CA1400195,4
CA1400500,4
CA1400504,4
CA1400505,4
CA1400506,4
CA1400524,4
CA1400528,1
CA1400529,4
CA1400531,4
CA1400535,4
CA1410005,1
CA1410007,1
CA1410801,4
CA1500252,1
CA1500289,1
CA1500344,2
CA1500396,4
CA1500405,3
CA1500464,4
CA1500566,1
CA1502042,4
CA1502044,4
CA1502056,1
CA1502073,4
CA1502134,4
CA1502194,4
CA1502213,4
CA1502223,4
CA1502225,4
CA1502249,4
CA1502277,4
CA1502317,4
CA1502319,4
CA1502323,4
CA1502325,4
CA1502327,4
CA1502418,4
CA1502422,4
CA1502524,4
CA1502572,3
CA1502667,4
CA1502670,1
CA1502673,4
CA1502680,4
CA1502686,4
CA1502688,4
CA1502689,4
CA1502695,4
CA1502717,3
CA1502757,4
CA1503105,4
CA1503230,4
CA1503319,4
CA1503378,4
CA1503392,4
CA1503397,4
CA1503576,4
CA1503629,4
CA1503655,4
CA1503656,4
CA1503657,4
CA1503661,4
CA1503668,4
CA1503672,4
CA1503677,4
CA1503679,4
CA1503680,4
CA1503684,1
CA1503687,4
CA1510015,1
CA1510036,1
CA1510300,4
CA1510301,4
CA1510302,4
CA1600293,2
CA1700502,1
CA1700508,4
CA1700510,4
CA1700511,4
CA1700518,2
CA1700519,1
CA1700527,1
CA1700533,4
CA1700536,2
CA1700546,2
CA1700549,2
CA1700554,1
CA1700568,1
CA1700579,4
CA1700580,4
CA1700584,4
CA1700592,1
CA1700595,1
CA1700596,2
CA1700597,4
CA1700599,4
CA1700601,4
CA1700603,4
CA1700604,4
CA1700606,2
CA1700609,4
CA1700610,3
CA1700617,4
CA1700627,4
CA1700628,4
CA1700630,3
