"","pwsid","population_served_count_echo","service_connections_count_echo","pws_type_code_echo","gw_sw_code_echo","primary_source_code_echo","carceral_sys","count_of_viols_over5yrs_health","count_of_viols_over5yrs_mon","binary_viol_over5yrs_health","binary_viol_over5yrs_mon"
"1257","CA2000619",43,5,"NTNCWS","GW","GW","other_water_systems",0,1,0,1
"1258","CA2000641",60,3,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1259","CA2000647",80,18,"CWS","GW","GW","other_water_systems",0,4,0,1
"1260","CA2000655",280,1,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1261","CA2000659",450,20,"NTNCWS","GW","GW","other_water_systems",0,1,0,1
"1262","CA2000660",384,4,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1263","CA2000672",73,8,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1264","CA2000681",170,1,"NTNCWS","GW","GW","other_water_systems",1,0,1,0
"1265","CA2000682",99,7,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1266","CA2000688",100,20,"CWS","GW","GW","other_water_systems",0,1,0,1
"1267","CA2000690",375,127,"CWS","GW","GW","other_water_systems",0,0,0,0
"1268","CA2000692",150,27,"CWS","GW","GW","other_water_systems",0,0,0,0
"1269","CA2000695",750,5,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1270","CA2000724",100,31,"CWS","GW","GW","other_water_systems",0,0,0,0
"1271","CA2000727",84,16,"CWS","GW","GW","other_water_systems",0,0,0,0
"1272","CA2000728",350,100,"CWS","GW","GW","other_water_systems",0,0,0,0
"1273","CA2000729",135,41,"CWS","SW","SW","other_water_systems",3,0,1,0
"1274","CA2000733",40,1,"NTNCWS","GW","GW","other_water_systems",1,0,1,0
"1275","CA2000737",100,34,"CWS","GW","GW","other_water_systems",10,1,1,1
"1276","CA2000757",300,87,"CWS","GW","GW","other_water_systems",0,0,0,0
"1277","CA2000760",316,4,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1278","CA2000775",370,198,"CWS","GW","GW","other_water_systems",0,0,0,0
"1279","CA2000794",90,2,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1280","CA2000800",50,22,"CWS","GW","GW","other_water_systems",0,0,0,0
"1281","CA2000828",23,21,"CWS","GW","GW","other_water_systems",2,2,1,1
"1282","CA2000832",450,254,"CWS","GW","GW","other_water_systems",0,0,0,0
"1283","CA2000840",48,1,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1284","CA2000843",46,2,"NTNCWS","GW","GW","other_water_systems",0,2,0,1
"1285","CA2000844",485,9,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1286","CA2000846",250,23,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1287","CA2000848",143,3,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1288","CA2000849",150,38,"CWS","GW","GW","other_water_systems",0,0,0,0
"1289","CA2000851",150,27,"CWS","GW","GW","other_water_systems",0,0,0,0
"1290","CA2000855",125,21,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1291","CA2000865",75,25,"CWS","GW","GW","other_water_systems",0,0,0,0
"1292","CA2000866",60,4,"NTNCWS","GW","GW","other_water_systems",4,0,1,0
"1293","CA2000920",90,5,"NTNCWS","GW","GW","other_water_systems",3,1,1,1
"1294","CA2000947",450,17,"NTNCWS","GW","GW","other_water_systems",0,1,0,1
