id,year,status
CA0301038,2021,downloaded
CA0301038,2022,downloaded
CA0301038,2023,downloaded
CA0310001,2020,downloaded
CA0310001,2021,downloaded
CA0310001,2022,downloaded
CA0310001,2023,downloaded
CA0310002,2020,downloaded
CA0310002,2021,downloaded
CA0310002,2022,downloaded
CA0310002,2023,downloaded
CA0310003,2020,downloaded
CA0310003,2021,downloaded
CA0310003,2022,downloaded
CA0310003,2023,downloaded
CA0310004,2020,downloaded
CA0310004,2021,downloaded
CA0310004,2022,downloaded
CA0310004,2023,downloaded
CA0310005,2020,downloaded
CA0310005,2021,missing
CA0310005,2022,downloaded
CA0310005,2023,downloaded
CA0310006,2020,downloaded
CA0310006,2021,downloaded
CA0310006,2022,downloaded
CA0310006,2023,downloaded
CA0310008,2020,downloaded
CA0310008,2021,downloaded
CA0310008,2022,downloaded
CA0310008,2023,downloaded
CA0310011,2020,missing
CA0310011,2021,downloaded
CA0310011,2022,downloaded
CA0310011,2023,missing
CA0310012,2020,downloaded
CA0310012,2021,downloaded
CA0310012,2022,downloaded
CA0310012,2023,downloaded
CA0310018,2020,missing
CA0310018,2021,downloaded
CA0310018,2022,downloaded
CA0310018,2023,missing
CA0310019,2020,downloaded
CA0310019,2021,downloaded
CA0310019,2022,downloaded
CA0310019,2023,downloaded
CA0310021,2020,downloaded
CA0310021,2021,downloaded
CA0310021,2022,downloaded
CA0310021,2023,downloaded
CA0310300,2020,missing
CA0310300,2021,missing
CA0310300,2022,missing
CA0310300,2023,missing
CA0400001,2020,downloaded
CA0400001,2021,missing
CA0400001,2022,downloaded
CA0400001,2023,downloaded
CA0400003,2020,missing
CA0400003,2021,missing
CA0400003,2022,missing
CA0400003,2023,missing
CA0400004,2020,missing
CA0400004,2021,missing
CA0400004,2022,downloaded
CA0400004,2023,missing
CA0400007,2020,downloaded
CA0400007,2021,missing
CA0400007,2022,missing
CA0400007,2023,missing
CA0400008,2020,downloaded
CA0400008,2021,missing
CA0400008,2022,missing
CA0400008,2023,missing
CA0400010,2020,missing
CA0400010,2021,missing
CA0400010,2022,missing
CA0400010,2023,missing
CA0400012,2020,downloaded
CA0400012,2021,downloaded
CA0400012,2022,downloaded
CA0400012,2023,downloaded
CA0400013,2020,missing
CA0400013,2021,downloaded
CA0400013,2022,downloaded
CA0400013,2023,missing
CA0400014,2020,missing
CA0400014,2021,missing
CA0400014,2022,missing
CA0400014,2023,missing
CA0400016,2020,missing
CA0400016,2021,missing
CA0400016,2022,downloaded
CA0400016,2023,missing
CA0400019,2020,downloaded
CA0400019,2021,downloaded
CA0400019,2022,downloaded
CA0400019,2023,missing
CA0400020,2020,missing
CA0400020,2021,missing
CA0400020,2022,missing
CA0400020,2023,missing
CA0400021,2020,missing
CA0400021,2021,missing
CA0400021,2022,missing
CA0400021,2023,missing
CA0400023,2020,downloaded
CA0400023,2021,downloaded
CA0400023,2022,downloaded
CA0400023,2023,missing
CA0400026,2020,missing
CA0400026,2021,missing
CA0400026,2022,missing
CA0400026,2023,missing
CA0400027,2020,missing
CA0400027,2021,missing
CA0400027,2022,missing
CA0400027,2023,missing
CA0400030,2020,missing
CA0400030,2021,missing
CA0400030,2022,missing
CA0400030,2023,missing
CA0400040,2020,downloaded
CA0400040,2021,downloaded
CA0400040,2022,downloaded
CA0400040,2023,missing
CA0400042,2020,missing
CA0400042,2021,missing
CA0400042,2022,missing
CA0400042,2023,missing
CA0400051,2020,missing
CA0400051,2021,missing
CA0400051,2022,missing
CA0400051,2023,missing
CA0400060,2020,missing
CA0400060,2021,missing
CA0400060,2022,missing
CA0400060,2023,missing
CA0400062,2020,missing
CA0400062,2021,downloaded
CA0400062,2022,downloaded
CA0400062,2023,missing
CA0400063,2020,missing
CA0400063,2021,missing
CA0400063,2022,missing
CA0400063,2023,missing
CA0400067,2020,downloaded
CA0400067,2021,downloaded
CA0400067,2022,downloaded
CA0400067,2023,missing
CA0400068,2020,downloaded
CA0400068,2021,missing
CA0400068,2022,missing
CA0400068,2023,missing
CA0400070,2020,missing
CA0400070,2021,downloaded
CA0400070,2022,downloaded
CA0400070,2023,missing
CA0400073,2020,missing
CA0400073,2021,missing
CA0400073,2022,missing
CA0400073,2023,missing
CA0400078,2020,missing
CA0400078,2021,missing
CA0400078,2022,missing
CA0400078,2023,missing
CA0400079,2020,missing
CA0400079,2021,missing
CA0400079,2022,missing
CA0400079,2023,missing
CA0400090,2020,missing
CA0400090,2021,missing
CA0400090,2022,missing
CA0400090,2023,missing
CA0400091,2020,downloaded
CA0400091,2021,downloaded
CA0400091,2022,downloaded
CA0400091,2023,downloaded
CA0400093,2020,missing
CA0400093,2021,missing
CA0400093,2022,missing
CA0400093,2023,missing
CA0400103,2020,missing
CA0400103,2021,missing
CA0400103,2022,missing
CA0400103,2023,missing
CA0400105,2020,missing
CA0400105,2021,missing
CA0400105,2022,missing
CA0400105,2023,missing
CA0400106,2020,missing
CA0400106,2021,missing
CA0400106,2022,missing
CA0400106,2023,missing
CA0400111,2020,missing
CA0400111,2021,missing
CA0400111,2022,missing
CA0400111,2023,missing
CA0400117,2020,missing
CA0400117,2021,missing
CA0400117,2022,missing
CA0400117,2023,missing
CA0400120,2020,missing
CA0400120,2021,missing
CA0400120,2022,missing
CA0400120,2023,missing
CA0400123,2020,missing
CA0400123,2021,missing
CA0400123,2022,downloaded
CA0400123,2023,downloaded
CA0400132,2020,missing
CA0400132,2021,missing
CA0400132,2022,missing
CA0400132,2023,missing
CA0400133,2020,missing
CA0400133,2021,missing
CA0400133,2022,missing
CA0400133,2023,missing
CA0400137,2020,missing
CA0400137,2021,missing
CA0400137,2022,missing
CA0400137,2023,missing
CA0400138,2020,missing
CA0400138,2021,missing
CA0400138,2022,missing
CA0400138,2023,missing
CA0400143,2020,missing
CA0400143,2021,missing
CA0400143,2022,missing
CA0400143,2023,missing
CA0400149,2020,missing
CA0400149,2021,downloaded
CA0400149,2022,downloaded
CA0400149,2023,missing
CA0400150,2020,missing
CA0400150,2021,downloaded
CA0400150,2022,downloaded
CA0400150,2023,downloaded
CA0400151,2020,missing
CA0400151,2021,downloaded
CA0400151,2022,missing
CA0400151,2023,missing
CA0400154,2020,missing
CA0400154,2021,downloaded
CA0400154,2022,missing
CA0400154,2023,missing
CA0400155,2020,missing
CA0400155,2021,missing
CA0400155,2022,missing
CA0400155,2023,missing
CA0400160,2020,missing
CA0400160,2021,missing
CA0400160,2022,missing
CA0400160,2023,missing
CA0400161,2020,downloaded
CA0400161,2021,downloaded
CA0400161,2022,downloaded
CA0400161,2023,downloaded
CA0400162,2020,missing
CA0400162,2021,missing
CA0400162,2022,downloaded
CA0400162,2023,missing
CA0400166,2020,missing
CA0400166,2021,missing
CA0400166,2022,missing
CA0400166,2023,missing
CA0400169,2020,missing
CA0400169,2021,missing
CA0400169,2022,missing
CA0400169,2023,missing
CA0405001,2020,downloaded
CA0405001,2021,downloaded
CA0405001,2022,downloaded
CA0405001,2023,downloaded
CA0405003,2020,missing
CA0405003,2021,missing
CA0405003,2022,downloaded
CA0405003,2023,downloaded
CA0409181,2020,downloaded
CA0409181,2021,missing
CA0409181,2022,missing
CA0409181,2023,missing
CA0409183,2020,missing
CA0409183,2021,missing
CA0409183,2022,missing
CA0409183,2023,missing
CA0409200,2020,missing
CA0409200,2021,missing
CA0409200,2022,missing
CA0409200,2023,missing
CA0410001,2020,downloaded
CA0410001,2021,downloaded
CA0410001,2022,downloaded
CA0410001,2023,downloaded
CA0410002,2020,downloaded
CA0410002,2021,downloaded
CA0410002,2022,downloaded
CA0410002,2023,downloaded
CA0410003,2020,missing
CA0410003,2021,missing
CA0410003,2022,downloaded
CA0410003,2023,downloaded
CA0410004,2020,missing
CA0410004,2021,missing
CA0410004,2022,downloaded
CA0410004,2023,downloaded
CA0410005,2020,downloaded
CA0410005,2021,downloaded
CA0410005,2022,downloaded
CA0410005,2023,downloaded
CA0410006,2020,downloaded
CA0410006,2021,downloaded
CA0410006,2022,downloaded
CA0410006,2023,downloaded
CA0410007,2020,downloaded
CA0410007,2021,downloaded
CA0410007,2022,downloaded
CA0410007,2023,downloaded
CA0410008,2020,downloaded
CA0410008,2021,missing
CA0410008,2022,downloaded
CA0410008,2023,downloaded
CA0410009,2020,downloaded
CA0410009,2021,downloaded
CA0410009,2022,downloaded
CA0410009,2023,downloaded
CA0410011,2020,downloaded
CA0410011,2021,downloaded
CA0410011,2022,downloaded
CA0410011,2023,downloaded
CA0410012,2020,downloaded
CA0410012,2021,downloaded
CA0410012,2022,downloaded
CA0410012,2023,downloaded
CA0410018,2020,downloaded
CA0410018,2021,downloaded
CA0410018,2022,downloaded
CA0410018,2023,downloaded
CA0500003,2020,missing
CA0500003,2021,missing
CA0500003,2022,missing
CA0500003,2023,missing
CA0500007,2020,missing
CA0500007,2021,missing
CA0500007,2022,missing
CA0500007,2023,missing
CA0500019,2020,downloaded
CA0500019,2021,downloaded
CA0500019,2022,downloaded
CA0500019,2023,missing
CA0500021,2020,missing
CA0500021,2021,missing
CA0500021,2022,missing
CA0500021,2023,missing
CA0500026,2020,missing
CA0500026,2021,missing
CA0500026,2022,missing
CA0500026,2023,missing
CA0500027,2020,missing
CA0500027,2021,missing
CA0500027,2022,downloaded
CA0500027,2023,missing
CA0500028,2020,missing
CA0500028,2021,missing
CA0500028,2022,missing
CA0500028,2023,missing
CA0500032,2020,missing
CA0500032,2021,missing
