id,n_ccr
CA1500314,4
CA1500324,4
CA1500327,4
CA1500333,4
CA1500336,4
CA1500340,4
CA1500341,4
CA1500344,2
CA1500349,4
CA1500364,4
CA1500371,4
CA1500374,4
CA1500378,4
CA1500393,4
CA1500398,4
CA1500401,4
CA1500404,4
CA1500405,1
CA1500406,4
CA1500407,4
CA1500409,4
CA1500413,4
CA1500415,4
CA1500424,4
CA1500426,4
CA1500436,4
CA1500443,4
CA1500447,4
CA1500448,4
CA1500449,4
CA1500452,4
CA1500455,4
CA1500458,4
CA1500459,4
CA1500465,4
CA1500466,4
CA1500475,4
CA1500478,4
CA1500481,4
CA1500483,4
CA1500485,4
CA1500489,4
CA1500491,4
CA1500493,4
CA1500494,4
CA1500495,4
CA1500507,4
CA1500516,4
CA1500518,4
CA1500525,4
CA1500535,4
CA1500540,4
CA1500542,4
CA1500543,4
CA1500544,4
CA1500546,4
CA1500550,4
CA1500553,4
CA1500554,4
CA1500555,4
CA1500556,4
CA1500557,4
CA1500560,4
CA1500561,4
CA1500563,4
CA1500564,4
CA1500566,3
CA1500569,4
CA1500571,4
CA1500575,4
CA1500578,4
CA1500579,4
CA1500584,4
CA1500585,4
CA1500588,4
CA1500591,4
CA1500593,4
CA1500597,4
CA1500599,4
CA1500600,4
CA1502012,4
CA1502034,4
CA1502056,3
CA1502066,4
CA1502068,4
CA1502074,4
CA1502133,4
CA1502154,4
CA1502164,4
CA1502232,4
CA1502247,4
CA1502260,4
CA1502315,4
CA1502320,4
CA1502383,4
CA1502449,4
CA1502465,4
CA1502545,4
CA1502564,4
CA1502569,4
CA1502572,1
CA1502595,4
CA1502600,4
CA1502607,4
CA1502608,4
CA1502619,4
CA1502620,4
CA1502622,4
CA1502629,4
CA1502645,4
CA1502653,4
CA1502659,4
CA1502663,4
CA1502670,3
CA1502690,4
CA1502699,4
CA1502717,1
CA1502744,4
CA1502750,4
CA1502753,4
CA1503093,4
CA1503140,4
CA1503182,4
CA1503226,4
CA1503232,4
CA1503243,4
CA1503270,4
CA1503290,4
CA1503329,4
CA1503341,4
CA1503349,4
CA1503360,4
CA1503368,4
CA1503380,4
CA1503384,4
CA1503475,4
CA1503509,4
CA1503515,4
CA1503526,4
CA1503536,4
CA1503645,4
CA1503660,4
CA1503662,4
CA1503664,4
CA1503669,4
CA1503678,4
CA1503682,4
CA1503683,4
CA1503684,3
CA1503685,4
CA1503688,4
CA1510001,4
CA1510002,4
CA1510003,4
CA1510004,4
CA1510005,4
CA1510006,4
CA1510007,4
CA1510009,4
CA1510011,4
CA1510012,4
CA1510013,4
CA1510014,4
CA1510015,3
CA1510016,4
CA1510017,4
CA1510018,4
CA1510019,4
CA1510020,4
CA1510021,4
CA1510022,4
CA1510023,4
CA1510024,4
CA1510025,4
CA1510026,4
CA1510027,4
CA1510028,4
CA1510029,4
CA1510031,4
CA1510032,4
CA1510033,4
CA1510036,3
CA1510038,4
CA1510039,4
CA1510042,4
CA1510043,4
CA1510045,4
CA1510046,4
CA1510049,4
CA1510051,4
CA1510052,4
CA1510054,4
CA1510055,4
CA1510056,4
CA1510701,4
CA1510702,4
CA1510703,4
CA1510800,4
CA1510801,4
CA1510802,4
CA1600002,4
CA1600017,4
CA1600023,4
CA1600249,4
CA1600293,2
CA1600507,4
CA1610001,4
CA1610002,4
CA1610003,4
CA1610004,4
CA1610005,4
CA1610006,4
CA1610007,4
CA1610009,4
CA1610700,4
CA1700502,3
CA1700518,2
CA1700519,3
CA1700527,3
CA1700536,2
CA1700546,2
CA1700549,2
CA1700554,3
CA1700561,4
CA1700568,3
CA1700589,4
CA1700592,3
CA1700595,3
CA1700596,2
CA1700606,2
CA1700610,1
CA1700630,1
CA1700650,1
CA1700674,3
CA1700676,1
CA1700677,1
CA1700702,1
CA1700715,1
CA1700730,1
CA1700733,1
CA1710001,1
CA1710002,4
CA1710003,3
CA1710005,4
CA1710006,2
CA1710007,2
CA1710008,2
CA1710010,2
CA1710011,1
CA1710012,2
CA1710013,1
CA1710015,2
CA1710016,1
CA1710018,3
CA1710021,4
CA1710022,4
CA1800202,1
CA1800503,3
CA1800511,1
CA1800512,2
CA1800529,1
CA1800534,2
CA1800573,2
CA1800576,1
CA1800577,1
CA1800585,1
CA1805004,4
CA1805007,4
CA1810001,1
CA1810002,2
CA1810003,1
CA1810004,3
CA1810700,2
CA1810801,2
CA1900007,3
CA1900038,4
CA1900046,4
CA1900055,4
CA1900062,4
CA1900074,3
CA1900075,4
CA1900100,4
CA1900102,4
CA1900130,4
CA1900145,3
CA1900146,4
CA1900154,4
CA1900155,4
CA1900158,3
CA1900301,4
CA1900303,4
CA1900520,4
CA1900523,4
CA1900529,4
CA1900537,4
CA1900541,4
CA1900542,4
CA1900555,4
CA1900563,4
CA1900599,4
CA1900616,4
CA1900636,4
CA1900649,4
CA1900693,4
CA1900717,4
CA1900721,4
CA1900741,4
CA1900767,4
CA1900785,3
CA1900794,4
CA1900801,4
CA1900803,4
CA1900804,4
CA1900808,3
CA1900809,4
CA1900817,4
CA1900843,4
CA1900849,4
CA1900868,4
CA1900901,4
CA1900903,4
CA1900907,4
CA1900913,4
CA1900936,4
CA1900942,3
CA1900961,3
CA1900975,4
CA1900976,4
CA1907014,4
CA1907028,4
CA1909006,4
CA1910001,4
CA1910002,3
CA1910003,4
CA1910004,4
CA1910005,4
CA1910006,3
CA1910007,4
CA1910009,4
CA1910010,4
CA1910011,4
CA1910012,3
CA1910013,3
CA1910018,4
CA1910019,4
CA1910020,4
CA1910021,4
CA1910022,4
CA1910023,4
CA1910024,4
CA1910025,4
CA1910026,4
CA1910027,4
CA1910028,3
CA1910029,4
CA1910030,4
CA1910033,4
CA1910034,4
CA1910035,4
CA1910036,4
CA1910038,3
CA1910039,4
CA1910040,3
CA1910042,4
CA1910043,4
CA1910044,4
CA1910046,4
CA1910047,4
CA1910049,4
CA1910050,4
CA1910051,4
CA1910052,4
CA1910053,4
CA1910054,3
CA1910056,4
CA1910059,4
CA1910060,4
CA1910061,2
CA1910062,4
CA1910063,4
CA1910064,4
CA1910065,4
CA1910066,4
CA1910067,4
CA1910070,4
CA1910072,4
CA1910073,4
CA1910075,4
CA1910077,4
CA1910079,4
CA1910081,3
CA1910083,3
CA1910084,4
CA1910085,4
CA1910086,3
CA1910090,4
CA1910091,3
CA1910092,4
CA1910097,4
CA1910098,4
CA1910099,4
CA1910101,4
CA1910102,4
CA1910103,2
CA1910104,4
CA1910105,4
CA1910108,4
CA1910117,4
CA1910124,3
CA1910125,4
CA1910126,4
CA1910127,4
CA1910130,4
CA1910134,4
CA1910137,4
CA1910138,4
CA1910139,4
CA1910140,2
CA1910142,3
CA1910143,1
CA1910144,4
CA1910146,4
CA1910147,4
CA1910148,4
CA1910149,4
CA1910152,4
CA1910153,4
CA1910154,2
CA1910155,4
CA1910156,4
CA1910157,3
CA1910158,3
CA1910159,4
CA1910160,4
CA1910161,4
CA1910163,4
CA1910165,4
CA1910166,4
CA1910167,4
CA1910169,3
CA1910173,4
CA1910174,4
CA1910179,4
CA1910185,4
CA1910186,4
CA1910189,4
CA1910191,3
CA1910194,4
CA1910195,4
CA1910200,4
CA1910203,4
CA1910204,4
CA1910205,4
CA1910211,4
CA1910212,4
CA1910213,3
CA1910218,4
CA1910223,4
CA1910225,4
CA1910234,3
CA1910238,4
CA1910239,4
CA1910240,4
CA1910241,4
CA1910242,4
CA1910243,4
CA1910244,3
CA1910245,4
CA1910246,4
CA1910248,4
CA1910249,4
CA1910254,4
CA1910801,3
CA2000293,1
CA2000501,3
CA2000502,4
CA2000506,1
CA2000509,4
CA2000511,2
CA2000512,2
CA2000521,3
CA2000524,3
CA2000526,1
CA2000527,4
CA2000529,4
CA2000530,4
CA2000533,4
CA2000534,4
CA2000538,4
CA2000544,4
CA2000549,2
CA2000550,1
CA2000551,1
CA2000552,1
CA2000553,2
CA2000554,2
CA2000557,1
CA2000561,1
CA2000573,4
CA2000589,4
CA2000592,2
CA2000593,4
CA2000595,4
CA2000605,4
CA2000608,4
CA2000612,4
CA2000688,4
CA2000690,1
CA2000692,2
CA2000724,2
CA2000727,2
CA2000728,2
CA2000729,4
CA2000737,1
CA2000757,1
CA2000775,4
CA2000800,4
CA2000828,4
CA2000832,4
CA2000849,1
CA2000851,1
CA2000865,1
CA2000866,4
CA2010001,3
CA2010002,4
CA2010003,3
CA2010004,4
CA2010005,4
CA2010006,4
CA2010007,4
CA2010008,4
CA2010009,4
CA2010010,4
CA2010011,4
CA2010012,4
CA2010013,4
CA2010014,4
CA2010015,4
CA2010016,4
CA2010017,4
CA2010800,4
CA2010801,4
CA2100508,4
CA2100519,2
CA2100527,3
CA2100538,2
CA2100545,3
CA2100549,2
CA2100560,2
CA2100565,1
CA2100566,3
CA2100579,1
CA2100582,1
CA2100584,3
CA2110001,1
CA2110002,3
CA2110003,3
CA2110004,2
CA2110005,2
CA2110006,3
CA2110007,4
CA2110008,1
CA2110304,3
CA2110350,2
CA2110502,1
CA2210001,4
CA2210002,4
CA2210003,4
CA2210503,4
CA2210510,4
CA2210515,4
CA2210851,4
CA2210900,4
CA2210901,4
CA2210903,4
CA2210905,4
CA2210906,4
CA2210907,4
CA2210909,4
CA2210910,4
CA2210918,3
CA2210921,4
CA2210924,4
CA2210925,4
CA2210926,4
CA2300502,2
CA2300506,4
CA2300507,2
CA2300514,2
CA2300519,1
CA2300545,3
CA2300584,4
CA2300590,3
CA2300591,2
CA2300596,4
CA2300604,4
CA2300605,2
CA2300606,2
CA2300609,4
CA2300610,4
CA2300634,3
CA2300644,2
CA2300646,4
CA2300663,2
CA2300667,4
CA2300668,4
CA2300705,3
CA2300708,2
CA2300717,1
CA2300730,4
CA2300731,3
CA2300735,3
CA2300743,3
CA2300802,2
CA2300804,2
CA2300829,2
CA2300830,2
CA2300832,4
CA2300838,4
CA2300846,4
CA2300852,4
CA2300863,4
CA2300871,1
CA2300879,4
CA2300892,4
CA2300901,4
CA2300902,1
CA2300906,3
CA2310001,2
CA2310002,4
CA2310003,2
CA2310004,4
CA2310005,2
CA2310006,2
CA2310007,4
CA2310008,1
CA2310009,3
CA2310010,3
CA2310011,3
CA2310012,1
CA2310013,2
CA2310800,1
CA2400011,4
CA2400013,4
CA2400046,4
CA2400053,4
CA2400055,4
CA2400057,2
CA2400062,4
CA2400064,4
CA2400065,4
CA2400066,4
CA2400071,4
CA2400075,4
CA2400078,4
CA2400079,4
CA2400084,4
CA2400085,1
CA2400091,4
CA2400097,4
CA2400099,4
CA2400113,4
CA2400122,4
CA2400128,4
CA2400134,4
CA2400139,4
CA2400148,4
CA2400154,4
CA2400162,4
CA2400165,4
CA2400166,4
CA2400167,4
CA2400169,4
CA2400170,4
CA2400172,4
CA2400200,4
CA2400201,4
CA2400208,1
CA2400209,4
CA2400211,4
CA2400216,4
CA2400218,4
CA2400219,3
CA2400223,4
CA2400226,4
CA2400231,4
CA2400232,4
CA2400248,4
CA2400255,4
CA2400326,2
CA2400329,4
CA2400330,4
CA2400332,4
CA2400334,4
CA2400335,4
CA2400336,4
CA2400338,1
CA2400339,4
CA2400341,1
CA2400342,4
CA2400343,4
CA2410001,4
CA2410002,4
CA2410003,4
CA2410004,4
CA2410005,4
CA2410006,4
CA2410007,4
CA2410008,4
CA2410009,4
CA2410010,4
CA2410011,3
CA2410012,4
CA2410018,4
CA2410021,4
CA2410700,4
CA2500503,1
CA2500547,4
CA2500911,1
CA2510002,1
CA2510800,2
CA2600501,4
CA2600532,4
CA2600538,1
CA2600546,3
CA2600547,4
CA2600620,4
CA2600621,4
CA2600622,3
CA2600624,4
CA2600699,4
CA2600714,3
CA2600733,3
CA2610001,4
CA2610002,4
CA2610003,4
CA2610004,4
CA2610005,4
CA2610700,4
CA2610701,4
CA2700503,4
CA2700509,4
CA2700511,4
CA2700518,4
CA2700522,4
CA2700523,4
CA2700534,4
CA2700535,4
CA2700541,4
CA2700547,4
CA2700548,4
CA2700558,4
CA2700577,4
CA2700579,4
CA2700586,4
CA2700589,4
CA2700592,3
CA2700594,4
CA2700606,4
CA2700612,4
CA2700622,4
CA2700624,1
CA2700629,3
CA2700634,4
CA2700638,4
CA2700662,3
CA2700663,4
CA2700665,4
CA2700669,4
CA2700674,4
CA2700678,4
CA2700682,4
CA2700686,4
CA2700687,4
CA2700691,4
CA2700702,4
CA2700703,4
CA2700705,4
CA2700709,4
CA2700713,4
CA2700728,4
CA2700731,4
CA2700733,4
CA2700738,4
CA2700740,4
CA2700766,4
CA2700771,4
CA2700772,4
CA2700773,4
CA2700775,4
CA2700787,4
CA2700792,4
CA2700799,4
CA2700837,3
CA2700838,4
CA2700842,4
CA2700853,2
CA2700875,4
CA2700964,4
CA2700970,4
