pwsid,pws_name,pws_type_code,gw_sw_code,primary_source_code,population_served_count,service_connections_count,carceral_sys,health_5yr_no2ndary_or_lsl_binary,mon_only_5yr_binary,health_5yr_count_no_2ndary_or_lsl,mon_only_5yr_count,CASDWIS_County,CASDWIS_SourceType,watersource,purchased,Water_System_Name,County,Regulating_agency,Water_System_Type,Service_Connections,Population,Primary_Service_Area,Water_Quality_Category_Score,Accessibility_Category_Score,Affordability_Category_Score,TMF_Capacity_Category_Score,Total_Risk_Assessment_Score,Automatically_At_Risk,Risk_Assessment_Result,Failing_Status,SAFER_Status,Number_of_Water_Sources,Absence_of_Interties,Source_Capacity_Violations,Bottled_Water_or_Hauled_Water_Reliance,Significant_Deficiencies,SC3i_Count_Distribution,SC5e_Drought_Impact,Distributiondis_any,n_ccr_downloaded,n_ccr_missing
CA0210002,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,CWS,GW,GW,7851,866,other_water_systems,0,1,0,1,ALPINE  ,GW,GW,Not purchased,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,ALPINE,DISTRICT 09 - SACRAMENTO,COMMUNITY,866,7851,RESIDENTIAL AREA,0.75,0.33,0,0,0.27,--,Not At-Risk,Failing,Failing,4,Y,N,N,0,0,0,0,4,0
CA0300010,DRYTOWN COUNTY WATER DISTRICT,CWS,SW,SWP,221,67,other_water_systems,0,1,0,1,AMADOR  ,SWP,SW,Purchased,DRYTOWN COUNTY WATER DISTRICT,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,67,221,RESIDENTIAL AREA,0,1,0,0.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0,0,0,0,0,4
CA0300011,SUTTER PINES MHP,CWS,SW,GU,40,20,other_water_systems,0,0,0,0,AMADOR  ,GU,GW,Not purchased,SUTTER PINES MHP,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,20,40,MOBILE HOME PARK,0.25,2,0,1,0.81,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,3,1
CA0300016,VOLCANO COMMUNITY SERVICE DIST,CWS,SW,GU,103,73,other_water_systems,0,1,0,1,AMADOR  ,GU,GW,Not purchased,VOLCANO COMMUNITY SERVICE DIST,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,73,103,RESIDENTIAL AREA,0.25,0.33,0.75,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0,0,0,0,2,2
CA0300019,FIDDLETOWN COMMUNITY SERVICE,CWS,GW,GW,100,66,other_water_systems,1,1,1,1,AMADOR  ,GW,GW,Not purchased,FIDDLETOWN COMMUNITY SERVICE,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,66,100,RESIDENTIAL AREA,2.25,1.33,0,0.67,1.06,--,At-Risk,Failing,Failing,1,Y,N,N,0,0,0,0,1,3
CA0300024,FOREST POINT MHC,CWS,GW,GW,62,22,other_water_systems,0,1,0,2,AMADOR  ,GW,GW,Not purchased,FOREST POINT MHC,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,22,62,MOBILE HOME PARK,0.25,2,0.67,0,0.73,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,1,0,1,4,0
CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,CWS,SW,SW,3553,355,other_water_systems,0,1,0,1,AMADOR  ,SW,SW,Not purchased,JACKSON VALLEY IRRIGATION DISTRICT,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,355,3553,MOBILE HOME PARK,0.25,2,0,0,0.56,At-Risk,At-Risk,Non-Failing,At-Risk,2,Y,N,Y,0,0,1,0,3,1
CA0300053,RANCHO DEL ORO MHP,CWS,GW,GW,44,27,other_water_systems,0,0,0,0,AMADOR  ,GW,GW,Not purchased,RANCHO DEL ORO MHP,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,28,44,MOBILE HOME PARK,0,2,0,1,0.75,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,0,0,0,4,0
CA0300055,SUNSET WEST MUTUAL WATER COMPANY,NTNCWS,GW,GW,25,7,other_water_systems,0,1,0,4,AMADOR  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,CWS,GW,GW,299,21,other_water_systems,0,0,0,0,AMADOR  ,GW,GW,Not purchased,HOPE FOUNDATION/MORIAH HEIGHTS,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,21,299,RESIDENTIAL AREA,0.75,2,0,1,0.94,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,3,1
CA0300073,AWA - TIGER CREEK POWERHOUSE,NTNCWS,SW,SW,32,9,other_water_systems,0,0,0,0,AMADOR  ,SW,SW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0300078,IONE BAND OF MIWOK INDIANS,CWS,GW,GW,40,12,other_water_systems,0,1,0,1,AMADOR  ,GW,GW,Not purchased,IONE BAND OF MIWOK INDIANS,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,12,40,RESIDENTIAL AREA,0.25,2.5,0,0.67,0.86,At-Risk,At-Risk,Non-Failing,At-Risk,1,Y,N,Y,0,0,0,0,1,3
CA0300448,MALLO GOLD MINE PLAZA,NTNCWS,GW,GW,25,9,other_water_systems,0,1,0,11,AMADOR  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,1
CA0300524,"MP ASSOCIATES, INC.",NTNCWS,GW,GW,130,2,other_water_systems,0,0,0,0,AMADOR  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0301038,PARDEE RECREATION AREA,NTNCWS,SW,SW,383,80,other_water_systems,0,0,0,0,AMADOR  ,SW,SW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0
CA0310001,CITY OF JACKSON,CWS,SW,SWP,5019,2208,carceral_serving_water_system,1,0,1,0,AMADOR  ,SWP,SW,Purchased,CITY OF JACKSON,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,2208,5019,OTHER AREA,0.5,1,0,0,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0,4,0,1,4,0
CA0310002,"AWA, IONE",CWS,SW,SW,7227,2342,carceral_serving_water_system,1,1,1,1,AMADOR  ,SW,SW,Not purchased,"AWA, IONE",AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,2342,7227,RESIDENTIAL AREA,0.75,1.33,0.75,0,0.71,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,2,0,1,4,0
CA0310003,"AWA, TANNER",CWS,SW,SW,4940,1754,other_water_systems,0,1,0,1,AMADOR  ,SW,SW,Not purchased,"AWA, TANNER",AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,1754,4940,RESIDENTIAL AREA,0,1.33,1.08,0,0.6,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,0,0,0,4,0
CA0310004,"PLYMOUTH, CITY OF",CWS,SW,SWP,1060,534,other_water_systems,1,0,1,0,AMADOR  ,SWP,SW,Purchased,"PLYMOUTH, CITY OF",AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,534,1060,RESIDENTIAL AREA,0.5,0,0,0.5,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,3,N,N,N,0,0,0,0,4,0
CA0310005,PINE GROVE COMM SERV DIST,CWS,SW,SWP,1141,410,other_water_systems,0,0,0,0,AMADOR  ,SWP,SW,Purchased,PINE GROVE COMM SERV DIST,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,410,1141,RESIDENTIAL AREA,0,1,0.33,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0,0,0,0,3,1
CA0310006,RIVER PINES PUD,CWS,GW,GW,574,230,other_water_systems,0,0,0,0,AMADOR  ,GW,GW,Not purchased,RIVER PINES PUD,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,230,574,RESIDENTIAL AREA,0,0.33,1,0.17,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0,0,0,0,4,0
CA0310008,CAMANCHE NORTH SHORE INC.,CWS,GW,GW,1012,211,other_water_systems,0,0,0,0,AMADOR  ,GW,GW,Not purchased,CAMANCHE NORTH SHORE INC.,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,211,1012,RECREATION AREA,0,0.33,0,1,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0,0,0,0,4,0
CA0310011,FIRST MACE MEADOW # 1,CWS,SW,SWP,838,337,other_water_systems,0,0,0,0,AMADOR  ,SWP,SW,Purchased,FIRST MACE MEADOW # 1,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,337,838,RESIDENTIAL AREA,0,1,0,0,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0,0,0,0,2,2
CA0310012,AWA BUCKHORN PLANT,CWS,SW,SW,8791,2738,carceral_serving_water_system,0,0,0,0,AMADOR  ,SW,SW,Not purchased,AWA BUCKHORN PLANT,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,2738,8791,RESIDENTIAL AREA,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,4,0
CA0310018,FIRST MACE MEADOWS UNIT NO. 2,CWS,SW,SWP,230,82,other_water_systems,0,0,0,0,AMADOR  ,SWP,SW,Purchased,FIRST MACE MEADOWS UNIT NO. 2,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,82,230,RESIDENTIAL AREA,0,1,0,0.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0,0,0,0,2,2
CA0310019,AWA LA MEL HEIGHTS #3,CWS,GW,GW,188,55,other_water_systems,0,0,0,0,AMADOR  ,GW,GW,Not purchased,AWA LA MEL HEIGHTS #3,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,55,188,RESIDENTIAL AREA,0,0.33,0.75,0.33,0.35,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,4,0
CA0310021,AWA - CAMANCHE VILLAGE,CWS,GW,GW,2402,728,other_water_systems,0,0,0,0,AMADOR  ,GW,GW,Not purchased,AWA - CAMANCHE VILLAGE,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,728,2402,RESIDENTIAL AREA,0,0.33,0,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0,0,0,0,4,0
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,CWS,GW,GW,150,54,other_water_systems,0,0,0,0,BUTTE  ,GW,GW,Not purchased,YOUTH WITH A MISSION-SPRINGS OF LIVING W,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,54,150,INSTITUTION,0.25,0.5,0,1,0.44,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,3,1
CA0400003,HARTLEY MUTUAL WATER SYSTEM,CWS,GW,GW,41,15,other_water_systems,0,0,0,0,BUTTE  ,GW,GW,Not purchased,HARTLEY MUTUAL WATER SYSTEM,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,15,41,RESIDENTIAL AREA,0,1.5,0,0,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,0,4
CA0400004,FOREST RANCH MUTUAL WATER SYSTEM,CWS,GW,GW,119,42,other_water_systems,0,0,0,0,BUTTE  ,GW,GW,Not purchased,FOREST RANCH MUTUAL WATER SYSTEM,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,42,119,RESIDENTIAL AREA,0,1.5,1.08,0,0.65,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,3,0,1,1,3
CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,CWS,GW,GW,399,172,other_water_systems,0,1,0,2,BUTTE  ,GW,GW,Not purchased,BUTTE CREEK ESTATES MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,172,399,RESIDENTIAL AREA,0,0.33,0.17,1.67,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0,0,0,0,1,3
CA0400008,GRAN MUTUAL WATER CO,CWS,GW,GW,290,91,other_water_systems,0,0,0,0,BUTTE  ,GW,GW,Not purchased,GRAN MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,91,290,RESIDENTIAL AREA,0,0.33,0,1,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,1,3
CA0400012,FARM LABOR HOUSING,CWS,GW,GW,460,135,other_water_systems,0,1,0,4,BUTTE  ,GW,GW,Not purchased,FARM LABOR HOUSING,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,135,460,RESIDENTIAL AREA,0.25,2,0,1.33,0.9,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,1,0,4,0
CA0400013,MERRY MOUNTAIN MUTUAL,CWS,GW,GW,90,97,other_water_systems,0,0,0,0,BUTTE  ,GW,GW,Not purchased,MERRY MOUNTAIN MUTUAL,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,97,90,RESIDENTIAL AREA,0.25,0.33,1,0.33,0.48,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0,0,0,0,2,2
CA0400014,LAKE MADRONE WATER DISTRICT,CWS,GW,GW,297,123,other_water_systems,0,1,0,1,BUTTE  ,GW,GW,Not purchased,LAKE MADRONE WATER DISTRICT,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,123,297,RESIDENTIAL AREA,0.5,0.33,0.33,0.67,0.46,--,Not At-Risk,Failing,Failing,2,Y,N,N,0,0,0,0,0,4
CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,CWS,GW,GW,28,8,other_water_systems,0,0,0,0,BUTTE  ,GW,GW,Not purchased,BERRY CREEK COMMUNITY SERVICE DIST,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,8,28,RESIDENTIAL AREA,0,0.33,1,0.67,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0,1,0,1,1,3
CA0400019,OROVILLE MOBILE HOME PARK,CWS,GW,GW,76,35,other_water_systems,0,1,0,1,BUTTE  ,GW,GW,Not purchased,OROVILLE MOBILE HOME PARK,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,35,76,MOBILE HOME PARK,0,1.33,0,0.83,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,2,0,1,3,1
CA0400020,PLEASANT GROVE MHP,CWS,GW,GW,327,88,other_water_systems,0,1,0,6,BUTTE  ,GW,GW,Not purchased,PLEASANT GROVE MHP,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,88,327,MOBILE HOME PARK,0,0.33,1,1.33,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0,0,0,0,0,4
CA0400021,ROBINSON'S CORNER MHP,CWS,GW,GW,20,20,other_water_systems,1,1,1,17,BUTTE  ,GW,GW,Not purchased,ROBINSON'S CORNER MHP,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,20,20,MOBILE HOME PARK,3,1.5,0.33,2.17,1.75,--,At-Risk,Failing,Failing,1,Y,N,N,0,0,0,0,0,4
CA0400023,GOLDEN OAKS MOBILE HOME PARK,CWS,GW,GW,75,25,other_water_systems,0,0,0,0,BUTTE  ,GW,GW,Not purchased,GOLDEN OAKS MOBILE HOME PARK,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,25,75,MOBILE HOME PARK,0,1.33,0.33,0.83,0.62,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,NA,0,NA,3,1
CA0400026,MEADOWBROOK OAKS,CWS,GW,GW,50,26,other_water_systems,0,1,0,1,BUTTE  ,GW,GW,Not purchased,MEADOWBROOK OAKS,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,26,50,MOBILE HOME PARK,0.25,1.33,0.67,1.67,0.98,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,0,4
CA0400027,FOOTHILLS MANUFACTURED HOME COMMUNUTY,CWS,GW,GW,180,127,other_water_systems,0,0,0,0,BUTTE  ,GW,GW,Not purchased,FOOTHILLS MANUFACTURED HOME COMMUNUTY,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,127,180,MOBILE HOME PARK,2,1,0.67,1,1.17,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0,0,0,0,0,4
CA0400030,GOLDEN FEATHER MHP,CWS,GW,GW,275,101,other_water_systems,0,0,0,0,BUTTE  ,GW,GW,Not purchased,GOLDEN FEATHER MHP,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,101,275,MOBILE HOME PARK,0,0.33,0.33,1,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,0,4
