"","SABL_PWSID","NN.x","NN_distance_meters.x","NN_distance_miles_largeurban","Remote_largeurban","NN.y","NN_distance_meters.y","NN_distance_miles","Remote"
"143","CA1500459",24,44522.0930004151,27.6648147690452,"Yes",4,41232.8254689027,25.6209536014159,"Yes"
"144","CA4901120",33,7247.65486676537,4.50349513885529,"No",117,7247.65486676537,4.50349513885529,"No"
"145","CA3301588",15,3771.17069914513,2.34330265770137,"No",63,3771.17069914513,2.34330265770137,"No"
"146","CA0400027",5,11935.6742626102,7.41650258031877,"Yes",77,6082.7877961073,3.77967849932724,"No"
"147","CA4500016",28,20101.6200589615,12.4905986671316,"Yes",106,20101.6200589615,12.4905986671316,"Yes"
"148","CA2702503",41,12496.7607133016,7.76514640368201,"Yes",127,12496.7607133016,7.76514640368201,"Yes"
"149","CA3400130",30,9531.29956528769,5.92248969471192,"Yes",113,9531.29956528769,5.92248969471192,"Yes"
"150","CA5400728",27,27881.5148551036,17.324813187458,"Yes",102,27881.5148551036,17.324813187458,"Yes"
"151","CA0400023",55,22509.655568194,13.9868862814533,"Yes",93,0,0,"No"
"152","CA0500043",30,78163.5745497492,48.5687142243088,"Yes",135,38854.9461357642,24.1434042127606,"Yes"
"153","CA0310004",30,18977.6240216614,11.7921781734509,"Yes",64,6379.80868158298,3.96423917977741,"No"
"154","CA2000509",11,41684.7759826994,25.901783329004,"Yes",47,41684.7759826994,25.901783329004,"Yes"
"155","CA0400123",5,4456.73082779805,2.76929103098043,"No",17,4456.73082779805,2.76929103098043,"No"
"156","CA0400090",5,7396.39222192499,4.59591647627287,"No",77,5661.0302991001,3.5176098892093,"No"
"157","CA2700837",31,1234.07002420339,0.766817468156754,"No",115,1234.07002420339,0.766817468156754,"No"
"158","CA0706007",1,957.537006609091,0.594987390240155,"No",1,957.537006609091,0.594987390240155,"No"
"159","CA2702482",31,1127.46512001796,0.70057608710276,"No",115,1127.46512001796,0.70057608710276,"No"
"160","CA1000141",11,54028.6309938271,33.5719182980769,"Yes",78,44634.4179717386,27.7346104438705,"Yes"
"161","CA4100540",34,17197.3979765883,10.6859942439685,"Yes",119,17197.3979765883,10.6859942439685,"Yes"
"162","CA3400135",1,8244.01322486454,5.12260505851128,"Yes",1,8244.01322486454,5.12260505851128,"Yes"
"163","CA0710009",1,6170.23348408446,3.83401486577383,"No",32,0,0,"No"
"164","CA1503378",3,31991.2084171213,19.878464722881,"Yes",139,21643.825856752,13.4488833041818,"Yes"
"165","CA1100404",5,26005.1645445311,16.1589002600638,"Yes",91,0,0,"No"
"166","CA2410018",21,42555.9330886564,26.4430966039845,"Yes",74,11954.2385453531,7.42803791949066,"Yes"
"167","CA0500091",22,54190.6458753959,33.6725899284153,"Yes",135,17991.5966718401,11.1794876606809,"Yes"
"168","CA1210801",28,125470.745746212,77.9641006538158,"Yes",46,23500.9463362656,14.6028473388256,"Yes"
"169","CA4901254",23,6313.88353780454,3.92327509277377,"No",134,5596.0224483025,3.47721578305548,"No"
"170","CA1400020",52,106985.302462626,66.477750172509,"Yes",10,42652.1147416635,26.502861260929,"Yes"
"171","CA4901109",40,31591.7875494553,19.6302754852643,"Yes",21,24448.9428734222,15.1919065414532,"Yes"
"172","CA2110005",33,9988.49955437106,6.20658130312492,"Yes",117,9988.49955437106,6.20658130312492,"Yes"
"173","CA2100582",33,5940.88606427204,3.69150463188142,"No",117,5940.88606427204,3.69150463188142,"No"
"174","CA5200504",5,28463.6164692748,17.6865152604638,"Yes",26,5728.16857741905,3.5593277849423,"No"
"175","CA3100069",30,8247.48861793247,5.12476457301283,"Yes",5,0,0,"No"
"176","CA4100513",34,15959.1179789862,9.91656081311981,"Yes",119,15959.1179789862,9.91656081311981,"Yes"
"177","CA4000568",9,37578.8741655008,23.350487880436,"Yes",15,3736.19736569615,2.32157118178642,"No"
"178","CA2710007",31,18105.5523812898,11.2502966317185,"Yes",50,0,0,"No"
"179","CA4901308",40,3448.05357720727,2.14252648738443,"No",126,3448.05357720727,2.14252648738443,"No"
"180","CA1510021",3,22616.3032534073,14.0531542454716,"Yes",154,0,0,"No"
"181","CA4100515",33,10558.0921539691,6.56051061551261,"Yes",56,5902.31231643831,3.66753595662714,"No"
"182","CA4901025",40,12705.1910071859,7.89465930579362,"Yes",167,4703.81947305612,2.92282517867954,"No"
"183","CA5400637",52,32810.8115272892,20.3877437504127,"Yes",161,22672.1107462077,14.0878314999986,"Yes"
"184","CA1000565",11,17471.2992442496,10.8561890242271,"Yes",97,0,0,"No"
"185","CA0910013",30,17936.7152073562,11.1453858149031,"Yes",5,13680.2447134278,8.50053109562166,"Yes"
"186","CA4100523",38,15377.2251313589,9.55498846195265,"Yes",123,15377.2251313589,9.55498846195265,"Yes"
"187","CA4100527",38,8279.61900428709,5.14472951911162,"Yes",123,8279.61900428709,5.14472951911162,"Yes"
