id,n_ccr_downloaded,n_ccr_missing
CA3600790,4,0
CA3600797,4,0
CA3601013,4,0
CA3601057,3,1
CA3601061,4,0
CA3601062,4,0
CA3601064,3,1
CA3601082,2,2
CA3601095,3,1
CA3601106,4,0
CA3601122,1,3
CA3601130,4,0
CA3601133,4,0
CA3601135,3,1
CA3601145,4,0
CA3601150,3,1
CA3601155,4,0
CA3601159,2,2
CA3601179,4,0
CA3601181,3,1
CA3601184,4,0
CA3601185,3,1
CA3610006,3,1
CA3610019,3,1
CA3610075,4,0
CA3610086,4,0
CA3610129,3,1
CA3610130,4,0
CA3610708,4,0
CA3700018,3,1
CA3700117,3,1
CA3700118,3,1
CA3700880,2,2
CA3700912,2,2
CA3700953,2,2
CA3700963,3,1
CA3701005,2,2
CA3701909,2,2
CA3702283,4,0
CA3702364,3,1
CA3705073,3,1
CA3710042,1,3
CA3710048,3,1
CA3710049,4,0
CA3710051,4,0
CA3710052,4,0
CA3710053,4,0
CA3810001,4,0
CA3900511,4,0
CA3900581,4,0
CA3900742,3,1
CA3900748,2,2
CA3900756,2,2
CA3900757,2,2
CA3900796,1,3
CA3900815,3,1
CA3900825,4,0
CA3900846,4,0
CA3900848,4,0
CA3900849,4,0
CA3900850,4,0
CA3900978,2,2
CA3900993,4,0
CA3901014,3,1
CA3901032,3,1
CA3901082,3,1
CA3901085,4,0
CA3901090,3,1
CA3901107,3,1
CA3901163,4,0
CA3901167,2,2
CA3901176,3,1
CA3901179,4,0
CA3901181,2,2
CA3901194,3,1
CA3901197,3,1
CA3901209,4,0
CA3901245,1,3
CA3901278,2,2
CA3901285,1,3
CA3901290,3,1
CA3901305,4,0
CA3901309,4,0
CA3901312,2,2
CA3901315,4,0
CA3901318,4,0
CA3901319,4,0
CA3901320,4,0
CA3901323,4,0
CA3901331,3,1
CA3901336,4,0
CA3901338,4,0
CA3901343,4,0
CA3901345,3,1
CA3901350,3,1
CA3901368,4,0
CA3901369,4,0
CA3901373,2,2
CA3901377,4,0
CA3901378,4,0
CA3901382,2,2
CA3901387,2,2
CA3901390,4,0
CA3901392,2,2
CA3901394,3,1
CA3901400,4,0
CA3901404,4,0
CA3901407,3,1
CA3901409,4,0
CA3901414,4,0
CA3901417,3,1
CA3901418,4,0
CA3901421,4,0
CA3901423,4,0
CA3901425,4,0
CA3901429,1,3
CA3901442,3,1
CA3901456,1,3
CA3901461,3,1
CA3901463,4,0
CA3901473,4,0
CA3901477,4,0
CA3901480,1,3
CA3901481,4,0
CA3902136,2,2
CA3902172,1,3
CA3902180,2,2
CA3902181,4,0
CA3902184,2,2
CA3902189,4,0
CA3902211,3,1
CA3902215,2,2
CA3910025,4,0
CA4000205,4,0
CA4000208,4,0
CA4000209,3,1
CA4000211,3,1
CA4000221,4,0
CA4000224,2,2
CA4000555,2,2
CA4000589,3,1
CA4000604,4,0
CA4000620,4,0
CA4000689,2,2
CA4000692,4,0
CA4000722,4,0
CA4000725,3,1
CA4000730,4,0
CA4000734,3,1
CA4000753,3,1
CA4000766,1,3
CA4000768,1,3
CA4000770,4,0
CA4000778,4,0
CA4000781,1,3
CA4000800,4,0
CA4000806,1,3
CA4000817,4,0
CA4000819,4,0
CA4000825,4,0
CA4000835,1,3
CA4000843,1,3
CA4000846,1,3
CA4000852,1,3
CA4010022,4,0
CA4010030,1,3
CA4010080,4,0
CA4010300,3,1
CA4200630,2,2
CA4200634,3,1
CA4200639,4,0
CA4200666,4,0
CA4200691,3,1
CA4200718,4,0
CA4200725,3,1
CA4200743,3,1
CA4200747,4,0
CA4200832,3,1
CA4200833,3,1
CA4200854,4,0
CA4200866,4,0
CA4200907,2,2
CA4200930,4,0
CA4200943,3,1
CA4200947,4,0
CA4200962,4,0
CA4200963,4,0
CA4200974,4,0
CA4200977,3,1
CA4210030,3,1
CA4400543,4,0
CA4500011,1,3
CA4500035,3,1
CA4500037,4,0
CA4500041,1,3
CA4500113,1,3
CA4500149,4,0
CA4500160,1,3
CA4500161,1,3
CA4500163,1,3
CA4500170,4,0
CA4500180,1,3
CA4500183,1,3
CA4500190,1,3
CA4500191,1,3
CA4500208,1,3
CA4500213,1,3
CA4500214,1,3
CA4500216,1,3
CA4500230,1,3
CA4500277,3,1
CA4500315,3,1
CA4500322,1,3
CA4500328,1,3
CA4500337,1,3
CA4500341,1,3
CA4500344,1,3
CA4800595,4,0
CA4800596,4,0
CA4800615,4,0
CA4800727,4,0
CA4800767,4,0
CA4800801,4,0
CA4800826,4,0
CA4810020,4,0
CA4810030,4,0
CA4810033,4,0
CA4810038,3,1
CA4810040,4,0
CA4810043,3,1
CA5000189,4,0
CA5000440,4,0
CA5000599,4,0
CA5000600,4,0
CA5010040,1,3
