pwsid,pws_name,pws_type_code,gw_sw_code,primary_source_code,population_served_count,service_connections_count,carceral_sys,health_5yr_no2ndary_or_lsl_binary,health_5yr_count_no_2ndary_or_lsl,mon_only_5yr_binary,mon_only_5yr_count,mr_5yr_count,mr_5yr_binary,CASDWIS_County,CASDWIS_SourceType,watersource,purchased,HR_NAME,System_Name,County,Regulating_Agency,Water_Quality_Risk_Level_Display,Accessability_Risk_Level_Display,Affordability_Risk_Level_Display,TMF_Capacity_Risk_Level_Display,POPULATION,SAFER_STATUS,Distinct count of PWSID,Funding Since 2017,SC3i_Count_Distribution,SC5e_Drought_Impact,Distributiondis_any,n_ccr_downloaded,n_ccr_missing,CCR_pulled
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,CWS,SW,SWP,98776,25458,carceral_serving_water_system,0,0,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,San Francisco Bay,DUBLIN SAN RAMON SERVICES DISTRICT,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Low to no risk,Low to no risk,No Risk,Low to no risk,98776,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA0110010,ZONE 7 WATER AGENCY,CWS,SW,SW,40,12,other_water_systems,0,0,0,0,0,0,ALAMEDA  ,SW,SW,Not purchased,NA,ZONE 7 WATER AGENCY,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,40,Not Assessed,1,$0,NA,NA,NA,4,0,Yes
CA0110011,CITY OF LIVERMORE,CWS,SW,SWP,38892,9958,other_water_systems,0,0,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,San Francisco Bay,CITY OF LIVERMORE,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Low to no risk,Low to no risk,No Risk,Low to no risk,38892,Not At-Risk,1,$0,NA,NA,NA,3,1,Yes
CA0110012,TOWN OF SUNOL - SFPUC,CWS,SW,SWP,281,102,other_water_systems,0,0,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,San Francisco Bay,TOWN OF SUNOL - SFPUC,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Low to no risk,High to medium risk,No Risk,Low to no risk,281,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA0110016,ALAMEDA POINT,CWS,SW,SWP,1400,378,other_water_systems,0,0,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,San Francisco Bay,ALAMEDA POINT,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Low to no risk,High to medium risk,Low Risk,Low to no risk,1400,Not At-Risk,1,$0,0,0,0,3,1,Yes
CA0110018,SFPUC-PLEASANTON WELLS,CWS,GW,GW,1,1,other_water_systems,0,0,0,0,0,0,ALAMEDA  ,GW,GW,Not purchased,NA,SFPUC-PLEASANTON WELLS,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,1,Not Assessed,1,$0,NA,NA,NA,0,4,Yes
CA0110650,USBR-SLDMWA - CVP JONES PUMPING PLANT,NTNCWS,SW,SW,90,1,other_water_systems,0,0,0,0,0,0,ALAMEDA  ,SW,SW,Not purchased,NA,NA,NA,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,NA,Not Assessed,NA,NA,NA,NA,NA,4,0,Yes
CA0110701,LAWRENCE LIVERMORE NATIONAL LAB SITE 200,NTNCWS,SW,SWP,10870,2,other_water_systems,0,0,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,NA,NA,NA,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,NA,Not Assessed,NA,NA,NA,NA,NA,4,0,Yes
CA0202501,DIAMOND VALLEY SCHOOL,NTNCWS,GW,GW,100,5,other_water_systems,0,0,0,0,0,0,ALPINE  ,GW,GW,Not purchased,North Lahontan,DIAMOND VALLEY SCHOOL,ALPINE,LPA32 - ALPINE COUNTY,Low to no risk,High to medium risk,No Risk,Low to no risk,100,Not At-Risk,1,$0,0,0,0,2,2,Yes
CA0202503,WOODFORDS MUTUAL WATER COMPANY,CWS,GW,GW,50,16,other_water_systems,0,0,0,0,0,0,ALPINE  ,GW,GW,Not purchased,North Lahontan,WOODFORDS MUTUAL WATER COMPANY,ALPINE,LPA32 - ALPINE COUNTY,Low to no risk,High to medium risk,No Risk,Low to no risk,50,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA0202504,MARKLEEVILLE WATER CO.,CWS,SW,SW,25,167,other_water_systems,0,0,1,6,6,1,ALPINE  ,SW,SW,Not purchased,North Lahontan,MARKLEEVILLE WATER CO.,ALPINE,LPA32 - ALPINE COUNTY,Low to no risk,Low to no risk,No Risk,Low to no risk,175,Not At-Risk,1,"$3,435,300",0,0,0,4,0,Yes
CA0202522,SIERRA PINES MOBILE HOME PARK,CWS,GW,GW,70,32,other_water_systems,0,0,0,0,1,1,ALPINE  ,GW,GW,Not purchased,North Lahontan,SIERRA PINES MOBILE HOME PARK,ALPINE,LPA32 - ALPINE COUNTY,Low to no risk,High to medium risk,No Risk,High to medium risk,70,Potentially At-Risk,1,$0,0,0,0,2,2,Yes
CA0202599,EARLY LEARNING CENTER,NTNCWS,GW,GW,35,1,other_water_systems,0,0,1,6,6,1,ALPINE  ,GW,GW,Not purchased,North Lahontan,ALPINE EARLY LEARNING CENTER,ALPINE,LPA32 - ALPINE COUNTY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,35,Not Assessed,1,$0,0,0,0,2,2,Yes
CA0205425,ALPINE CO COMMUNITY DEVELOPMENT,NTNCWS,GW,GW,30,10,other_water_systems,0,0,0,0,1,1,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,NA,Not Assessed,NA,NA,NA,NA,NA,1,3,Yes
CA0210001,LAKE ALPINE WATER COMPANY,CWS,SW,SW,625,490,other_water_systems,1,2,0,0,0,0,ALPINE  ,SW,SW,Not purchased,San Joaquin River,LAKE ALPINE WATER COMPANY,ALPINE,DISTRICT 10 - STOCKTON,Low to no risk,High to medium risk,High Risk,Low to no risk,625,At-Risk,1,$0,0,0,0,4,0,Yes
CA0210002,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,CWS,GW,GW,7851,866,other_water_systems,0,0,1,1,1,1,ALPINE  ,GW,GW,Not purchased,Sacramento River,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,ALPINE,DISTRICT 09 - SACRAMENTO,Low to no risk,Low to no risk,No Risk,Low to no risk,7851,Failing,1,$0,0,0,0,4,0,Yes
CA0300010,DRYTOWN COUNTY WATER DISTRICT,CWS,SW,SWP,221,67,other_water_systems,0,0,1,1,1,1,AMADOR  ,SWP,SW,Purchased,San Joaquin River,DRYTOWN COUNTY WATER DISTRICT,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,High to medium risk,No Risk,Low to no risk,221,Not At-Risk,1,$0,0,0,0,0,4,Yes
CA0300011,SUTTER PINES MHP,CWS,SW,GU,40,20,other_water_systems,0,0,0,0,0,0,AMADOR  ,GU,GW,Not purchased,San Joaquin River,SUTTER PINES MHP,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,High to medium risk,No Risk,High to medium risk,40,Failing,1,$0,0,0,0,3,1,Yes
CA0300016,VOLCANO COMMUNITY SERVICE DIST,CWS,SW,GU,103,73,other_water_systems,0,0,1,1,1,1,AMADOR  ,GU,GW,Not purchased,San Joaquin River,VOLCANO COMMUNITY SERVICE DIST,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,Low to no risk,Medium Risk,Low to no risk,103,Not At-Risk,1,$0,0,0,0,2,2,Yes
CA0300019,FIDDLETOWN COMMUNITY SERVICE,CWS,GW,GW,100,66,other_water_systems,1,1,1,1,2,1,AMADOR  ,GW,GW,Not purchased,San Joaquin River,FIDDLETOWN COMMUNITY SERVICE,AMADOR,DISTRICT 10 - STOCKTON,High to medium risk,High to medium risk,No Risk,Low to no risk,100,At-Risk,1,$0,0,0,0,1,3,Yes
CA0300024,FOREST POINT MHC,CWS,GW,GW,62,22,other_water_systems,0,0,1,2,2,1,AMADOR  ,GW,GW,Not purchased,San Joaquin River,FOREST POINT MHC,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,High to medium risk,Medium Risk,Low to no risk,62,Potentially At-Risk,1,$0,1,0,1,4,0,Yes
CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,CWS,SW,SW,3553,355,other_water_systems,0,0,1,1,1,1,AMADOR  ,SW,SW,Not purchased,San Joaquin River,JACKSON VALLEY IRRIGATION DISTRICT,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,High to medium risk,No Risk,Low to no risk,3553,At-Risk,1,"$4,013,142",0,1,0,3,1,Yes
CA0300053,RANCHO DEL ORO MHP,CWS,GW,GW,44,27,other_water_systems,0,0,0,0,0,0,AMADOR  ,GW,GW,Not purchased,San Joaquin River,RANCHO DEL ORO MHP,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,High to medium risk,No Risk,High to medium risk,44,Potentially At-Risk,1,$0,0,0,0,4,0,Yes
CA0300055,SUNSET WEST MUTUAL WATER COMPANY,NTNCWS,GW,GW,25,7,other_water_systems,0,0,1,4,5,1,AMADOR  ,GW,GW,Not purchased,NA,NA,NA,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,NA,Not Assessed,NA,NA,NA,NA,NA,0,4,Yes
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,CWS,GW,GW,299,21,other_water_systems,0,0,0,0,1,1,AMADOR  ,GW,GW,Not purchased,San Joaquin River,HOPE FOUNDATION/MORIAH HEIGHTS,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,High to medium risk,No Risk,High to medium risk,299,At-Risk,1,$0,0,0,0,3,1,Yes
CA0300073,AWA - TIGER CREEK POWERHOUSE,NTNCWS,SW,SW,32,9,other_water_systems,0,0,0,0,0,0,AMADOR  ,SW,SW,Not purchased,NA,NA,NA,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,NA,Not Assessed,NA,NA,NA,NA,NA,4,0,Yes
CA0300078,IONE BAND OF MIWOK INDIANS,CWS,GW,GW,40,12,other_water_systems,0,0,1,1,1,1,AMADOR  ,GW,GW,Not purchased,San Joaquin River,IONE BAND OF MIWOK INDIANS,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,High to medium risk,No Risk,Low to no risk,40,Failing,1,$0,0,0,0,1,3,Yes
CA0300448,MALLO GOLD MINE PLAZA,NTNCWS,GW,GW,25,9,other_water_systems,0,0,1,11,11,1,AMADOR  ,GW,GW,Not purchased,San Joaquin River,NA,NA,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,NA,Not Assessed,NA,NA,0,0,0,3,1,Yes
CA0300524,"MP ASSOCIATES, INC.",NTNCWS,GW,GW,130,2,other_water_systems,0,0,0,0,0,0,AMADOR  ,GW,GW,Not purchased,San Joaquin River,NA,NA,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,NA,Not Assessed,NA,NA,0,0,0,0,4,Yes
CA0301038,PARDEE RECREATION AREA,NTNCWS,SW,SW,383,80,other_water_systems,0,0,0,0,0,0,AMADOR  ,SW,SW,Not purchased,San Joaquin River,NA,NA,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,NA,Not Assessed,NA,NA,0,0,0,4,0,Yes
CA0310001,CITY OF JACKSON,CWS,SW,SWP,5019,2208,carceral_serving_water_system,1,1,0,0,0,0,AMADOR  ,SWP,SW,Purchased,San Joaquin River,CITY OF JACKSON,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,High to medium risk,No Risk,Low to no risk,5019,Not At-Risk,1,"$495,574",4,0,1,4,0,Yes
CA0310002,"AWA, IONE",CWS,SW,SW,7227,2342,carceral_serving_water_system,1,1,1,1,1,1,AMADOR  ,SW,SW,Not purchased,San Joaquin River,"AWA, IONE",AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,High to medium risk,Medium Risk,Low to no risk,7227,Potentially At-Risk,1,$0,2,0,1,4,0,Yes
CA0310003,"AWA, TANNER",CWS,SW,SW,4940,1754,other_water_systems,0,0,1,1,1,1,AMADOR  ,SW,SW,Not purchased,San Joaquin River,"AWA, TANNER",AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,High to medium risk,High Risk,Low to no risk,4940,Potentially At-Risk,1,$0,0,0,0,4,0,Yes
CA0310004,"PLYMOUTH, CITY OF",CWS,SW,SWP,1060,534,other_water_systems,1,1,0,0,0,0,AMADOR  ,SWP,SW,Purchased,San Joaquin River,"PLYMOUTH, CITY OF",AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,Low to no risk,No Risk,Low to no risk,1060,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA0310005,PINE GROVE COMM SERV DIST,CWS,SW,SWP,1141,410,other_water_systems,0,0,0,0,0,0,AMADOR  ,SWP,SW,Purchased,San Joaquin River,PINE GROVE COMM SERV DIST,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,High to medium risk,Low Risk,Low to no risk,1141,Not At-Risk,1,"$2,064,045",0,0,0,3,1,Yes
CA0310006,RIVER PINES PUD,CWS,GW,GW,574,230,other_water_systems,0,0,0,0,1,1,AMADOR  ,GW,GW,Not purchased,San Joaquin River,RIVER PINES PUD,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,Low to no risk,High Risk,Low to no risk,574,Not At-Risk,1,"$7,574,250",0,0,0,4,0,Yes
CA0310008,CAMANCHE NORTH SHORE INC.,CWS,GW,GW,1012,211,other_water_systems,0,0,0,0,0,0,AMADOR  ,GW,GW,Not purchased,San Joaquin River,CAMANCHE NORTH SHORE INC.,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,Low to no risk,No Risk,High to medium risk,922,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA0310011,FIRST MACE MEADOW # 1,CWS,SW,SWP,838,337,other_water_systems,0,0,0,0,1,1,AMADOR  ,SWP,SW,Purchased,San Joaquin River,FIRST MACE MEADOW # 1,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,High to medium risk,No Risk,Low to no risk,838,Not At-Risk,1,$0,0,0,0,2,2,Yes
CA0310012,AWA BUCKHORN PLANT,CWS,SW,SW,8791,2738,carceral_serving_water_system,0,0,0,0,0,0,AMADOR  ,SW,SW,Not purchased,San Joaquin River,AWA BUCKHORN PLANT,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,High to medium risk,No Risk,Low to no risk,8791,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA0310018,FIRST MACE MEADOWS UNIT NO. 2,CWS,SW,SWP,230,82,other_water_systems,0,0,0,0,0,0,AMADOR  ,SWP,SW,Purchased,San Joaquin River,FIRST MACE MEADOWS UNIT NO. 2,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,High to medium risk,No Risk,Low to no risk,230,Not At-Risk,1,$0,0,0,0,2,2,Yes
CA0310019,AWA LA MEL HEIGHTS #3,CWS,GW,GW,188,55,other_water_systems,0,0,0,0,0,0,AMADOR  ,GW,GW,Not purchased,San Joaquin River,AWA LA MEL HEIGHTS #3,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,Low to no risk,Medium Risk,Low to no risk,188,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA0310021,AWA - CAMANCHE VILLAGE,CWS,GW,GW,2402,728,other_water_systems,0,0,0,0,0,0,AMADOR  ,GW,GW,Not purchased,San Joaquin River,AWA - CAMANCHE VILLAGE,AMADOR,DISTRICT 10 - STOCKTON,Low to no risk,Low to no risk,No Risk,Low to no risk,2402,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,CWS,GW,GW,150,54,other_water_systems,0,0,0,0,0,0,BUTTE  ,GW,GW,Not purchased,Sacramento River,YOUTH WITH A MISSION-SPRINGS OF LIVING W,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,Low to no risk,No Risk,High to medium risk,150,Not At-Risk,1,$0,0,0,0,3,1,Yes
CA0400003,HARTLEY MUTUAL WATER SYSTEM,CWS,GW,GW,41,15,other_water_systems,0,0,0,0,3,1,BUTTE  ,GW,GW,Not purchased,Sacramento River,HARTLEY MUTUAL WATER SYSTEM,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,High to medium risk,No Risk,Low to no risk,41,Not At-Risk,1,$0,0,0,0,0,4,Yes
CA0400004,FOREST RANCH MUTUAL WATER SYSTEM,CWS,GW,GW,119,42,other_water_systems,0,0,0,0,1,1,BUTTE  ,GW,GW,Not purchased,Sacramento River,FOREST RANCH MUTUAL WATER SYSTEM,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,High to medium risk,High Risk,Low to no risk,119,Potentially At-Risk,1,$0,3,0,1,1,3,Yes
CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,CWS,GW,GW,399,172,other_water_systems,0,0,1,2,2,1,BUTTE  ,GW,GW,Not purchased,Sacramento River,BUTTE CREEK ESTATES MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,Low to no risk,Low Risk,High to medium risk,399,Not At-Risk,1,$0,0,0,0,1,3,Yes
CA0400008,GRAN MUTUAL WATER CO,CWS,GW,GW,290,91,other_water_systems,0,0,0,0,0,0,BUTTE  ,GW,GW,Not purchased,Sacramento River,GRAN MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,Low to no risk,No Risk,High to medium risk,290,Not At-Risk,1,$0,0,0,0,1,3,Yes
CA0400012,FARM LABOR HOUSING,CWS,GW,GW,460,135,other_water_systems,0,0,1,4,4,1,BUTTE  ,GW,GW,Not purchased,Sacramento River,GRIDLEY FARM LABOR HOUSING,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,High to medium risk,No Risk,High to medium risk,460,At-Risk,1,$0,0,1,0,4,0,Yes
CA0400013,MERRY MOUNTAIN MUTUAL,CWS,GW,GW,90,97,other_water_systems,0,0,0,0,2,1,BUTTE  ,GW,GW,Not purchased,Sacramento River,MERRY MOUNTAIN MUTUAL,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,Low to no risk,High Risk,Low to no risk,90,Not At-Risk,1,$0,0,0,0,2,2,Yes
CA0400014,LAKE MADRONE WATER DISTRICT,CWS,GW,GW,297,123,other_water_systems,0,0,1,1,1,1,BUTTE  ,GW,GW,Not purchased,Sacramento River,LAKE MADRONE WATER DISTRICT,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,Low to no risk,Low Risk,Low to no risk,297,Failing,1,$0,0,0,0,0,4,Yes
CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,CWS,GW,GW,28,8,other_water_systems,0,0,0,0,0,0,BUTTE  ,GW,GW,Not purchased,Sacramento River,BERRY CREEK COMMUNITY SERVICE DIST,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,Low to no risk,High Risk,Low to no risk,28,Not At-Risk,1,$0,1,0,1,1,3,Yes
CA0400019,OROVILLE MOBILE HOME PARK,CWS,GW,GW,76,35,other_water_systems,0,0,1,1,2,1,BUTTE  ,GW,GW,Not purchased,Sacramento River,OROVILLE MOBILE HOME PARK,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,High to medium risk,No Risk,High to medium risk,76,Potentially At-Risk,1,$0,2,0,1,3,1,Yes
CA0400020,PLEASANT GROVE MHP,CWS,GW,GW,327,88,other_water_systems,0,0,1,6,12,1,BUTTE  ,GW,GW,Not purchased,Sacramento River,PLEASANT GROVE MHP,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,Low to no risk,High Risk,High to medium risk,327,Failing,1,$0,0,0,0,0,4,Yes
CA0400021,ROBINSON'S CORNER MHP,CWS,GW,GW,20,20,other_water_systems,1,1,1,17,19,1,BUTTE  ,GW,GW,Not purchased,Sacramento River,ROBINSON'S CORNER MHP,BUTTE,LPA34 - BUTTE COUNTY,High to medium risk,High to medium risk,Low Risk,High to medium risk,20,Failing,1,$0,0,0,0,0,4,Yes
CA0400023,GOLDEN OAKS MOBILE HOME PARK,CWS,GW,GW,75,25,other_water_systems,0,0,0,0,1,1,BUTTE  ,GW,GW,Not purchased,Sacramento River,GOLDEN OAKS MOBILE HOME PARK,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,High to medium risk,Low Risk,Low to no risk,75,Potentially At-Risk,1,$0,NA,0,NA,3,1,Yes
CA0400026,MEADOWBROOK OAKS,CWS,GW,GW,50,26,other_water_systems,0,0,1,1,3,1,BUTTE  ,GW,GW,Not purchased,Sacramento River,MEADOWBROOK OAKS,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,High to medium risk,Medium Risk,High to medium risk,50,At-Risk,1,$0,0,0,0,0,4,Yes
CA0400027,FOOTHILLS MANUFACTURED HOME COMMUNUTY,CWS,GW,GW,180,127,other_water_systems,0,0,0,0,1,1,BUTTE  ,GW,GW,Not purchased,Sacramento River,FOOTHILLS MANUFACTURED HOME COMMUNUTY,BUTTE,LPA34 - BUTTE COUNTY,High to medium risk,High to medium risk,Medium Risk,High to medium risk,180,At-Risk,1,$0,0,0,0,0,4,Yes
CA0400030,GOLDEN FEATHER MHP,CWS,GW,GW,275,101,other_water_systems,0,0,0,0,0,0,BUTTE  ,GW,GW,Not purchased,Sacramento River,GOLDEN FEATHER MHP,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,Low to no risk,Low Risk,High to medium risk,275,Not At-Risk,1,$0,0,0,0,0,4,Yes
CA0400040,ALMOND GROVE MOBILE PARK,CWS,GW,GW,253,184,other_water_systems,0,0,1,1,2,1,BUTTE  ,GW,GW,Not purchased,Sacramento River,ALMOND GROVE MOBILE PARK,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,High to medium risk,Low Risk,High to medium risk,253,At-Risk,1,$0,0,0,0,3,1,Yes
CA0400042,FOREST VILLAGE LLC,CWS,GW,GW,28,17,other_water_systems,0,0,0,0,0,0,BUTTE  ,GW,GW,Not purchased,Sacramento River,FOREST VILLAGE LLC,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,High to medium risk,No Risk,Low to no risk,28,Not At-Risk,1,$0,0,0,0,0,4,Yes
CA0400051,DINGERVILLE USA PARK,CWS,GW,GW,220,80,other_water_systems,0,0,0,0,0,0,BUTTE  ,GW,GW,Not purchased,Sacramento River,DINGERVILLE USA PARK,BUTTE,LPA34 - BUTTE COUNTY,Low to no risk,Low to no risk,Low Risk,Low to no risk,220,Not At-Risk,1,$0,0,0,0,0,4,Yes
CA0400060,HONCUT ELEMENTARY SCHOOL,NTNCWS,GW,GW,25,3,other_water_systems,0,0,0,0,0,0,BUTTE  ,GW,GW,Not purchased,Sacramento River,HONCUT ELEMENTARY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,High to medium risk,Low to no risk,Low Risk,Low to no risk,25,Failing,1,"$2,876,900",0,0,0,0,4,Yes
