pwsid,population,service_connections,state_classification,activity_status_cd,regulating_agency,carceral_sys,count_of_viols_over5yrs_mcl,count_of_viols_over5yrs_mon,binary_viol_over5yrs_mcl,binary_viol_over5yrs_mon
CA0400162,600,3,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,1,4,1,1
CA0400166,500,3,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,2,0,1
CA0400169,750,1,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0405001,895,282,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0405003,195,1,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0409181,81,30,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,2,0,1
CA0409183,120,86,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,3,0,1
CA0409200,30,1,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0410001,2060,800,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,1,0,1
CA0410002,114925,30396,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0410003,1581,479,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0410004,7269,2282,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0410005,11106,3528,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,1,0,1
CA0410006,22664,6878,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0410007,9142,9368,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0410008,12136,3141,COMMUNITY,A ,DISTRICT 21 - VALLEY,nonexclusive_carceral,1,1,1,1
CA0410009,340,103,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,1,0,1
CA0410011,10940,3315,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0410012,73,22,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0410018,521,158,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0500003,1860,2,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500007,50,8,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500019,67,34,COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500021,103,124,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500026,150,15,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500027,99,70,COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500028,120,30,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500032,100,2,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500043,100,1,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500044,390,1,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500050,60,39,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500055,250,8,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500057,80,1,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500068,99,37,COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500069,225,1,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500075,30,24,COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
