PWS ID,PWS Name,Primacy Agency,PWS Type,Population Served Count,Service Connections Count,Primary Source,Primary Source Code,GW SW,GW SW Code
CA1010027,"REEDLEY, CITY OF",California,Community water system,"25,227",6275,Ground water,GW,Groundwater,GW
CA3600187,OLIVE DELL RANCH,California,Community water system,350,100,Ground water,GW,Groundwater,GW
CA0400014,LAKE MADRONE WATER DISTRICT,California,Community water system,297,123,Ground water,GW,Groundwater,GW
CA1000459,JACK'S GAS #2,California,Transient non-community system,300,1,Ground water,GW,Groundwater,GW
CA1210024,WESTHAVEN C.S.D.,California,Community water system,490,228,Surface water,SW,Surface water,SW
CA1700546,CLEAR WATER MUTUAL WATER COMPANY,California,Community water system,252,89,Surface water,SW,Surface water,SW
CA2400209,SAN LUIS HILLS,California,Community water system,779,65,Surface water,SW,Surface water,SW
CA1502133,V LIONS OPS WATER SYSTEM,California,Non-Transient non-community system,250,3,Ground water,GW,Groundwater,GW
CA1504001,"WONDERFUL NURSERIES, LLC",California,Non-Transient non-community system,250,4,Ground water,GW,Groundwater,GW
CA5602117,STRICKLAND ACRES,California,Community water system,429,128,Ground water,GW,Groundwater,GW
CA5500053,LEISURE PINES MUTUAL WATER CO,California,Community water system,340,108,Ground water,GW,Groundwater,GW
CA1503658,CROSSOVER CHURCH OF ROSEDALE WS,California,Transient non-community system,151,2,Ground water,GW,Groundwater,GW
CA2803886,PESTONI FAMILY ESTATE WINERY,California,Transient non-community system,28,1,Ground water,GW,Groundwater,GW
CA3000980,SMWD-NICHOLS INSTITUTE,California,Non-Transient non-community system,"1,600",2,Surface water purchased,SWP,Surface water,SW
CA3010101,SANTA MARGARITA WATER DISTRICT,California,Community water system,"166,600",55982,Surface water purchased,SWP,Surface water,SW
CA3010030,SANTA MARGARITA WATER DISTRICT-ID9,California,Community water system,"38,347",11016,Surface water purchased,SWP,Surface water,SW
CA3010120,SAN JUAN BASIN AUTHORITY,California,Community water system,0,2,Ground water,GW,Groundwater,GW
CA4901156,WILLOWSIDE SCHOOL,California,Non-Transient non-community system,460,5,Ground water,GW,Groundwater,GW
CA4010026,NIPOMO COMM SERVICES DIST,California,Community water system,"13,771",4512,Surface water purchased,SWP,Surface water,SW
CA4900584,TIMBER COVE COUNTY WATER DISTRICT,California,Community water system,271,205,Surface water,SW,Surface water,SW
CA4901459,ROBERT YOUNG FAMILY LIMITED PARTNER,California,Non-Transient non-community system,71,7,Ground water,GW,Groundwater,GW
CA3400402,SHELDON ACRES DEV CENTER,California,Non-Transient non-community system,100,1,Ground water,GW,Groundwater,GW
CA1900801,COLORADO MUTUAL WATER COMPANY,California,Community water system,39,13,Ground water,GW,Groundwater,GW
CA4000847,CARPENTER WINERY,California,Transient non-community system,54,1,Ground water,GW,Groundwater,GW
CA3600157,LUCERNE VISTA MWC,California,Community water system,224,61,Ground water,GW,Groundwater,GW
CA4500081,LAZY LANDING MOBILE HOME PARK,California,Community water system,250,112,Ground water,GW,Groundwater,GW
CA3600158,LYTLE SPRINGS WC,California,Community water system,475,141,Ground water,GW,Groundwater,GW
CA0600032,HIGHWAY 20 TRAILER PARK,California,Transient non-community system,63,1,Ground water,GW,Groundwater,GW
CA3310301,MT SAN JACINTO ST PARK (STONE CREEK),California,Transient non-community system,150,160,Ground water,GW,Groundwater,GW
CA2700032,RIVERVIEW FARMS WS,California,Non-Transient non-community system,40,1,Ground water,GW,Groundwater,GW
CA3010027,CITY OF ORANGE,California,Community water system,"117,150",35528,Surface water purchased,SWP,Surface water,SW
CA5510011,COLD SPRINGS WATER CO,California,Community water system,"1,771",538,Surface water,SW,Surface water,SW
CA5403152,MOUNTAIN VIEW COLD STORAGE,California,Non-Transient non-community system,140,3,Ground water,GW,Groundwater,GW
CA1510004,"CASA LOMA WATER CO, INC.",California,Community water system,900,248,Ground water,GW,Groundwater,GW
CA2400166,FOSTER FARMS CHICKEN LIVEHAUL (SYCAMORE,California,Non-Transient non-community system,103,1,Ground water,GW,Groundwater,GW
CA5403114,FOSTER FARMS TRAVER FEEDMILL,California,Non-Transient non-community system,58,2,Ground water,GW,Groundwater,GW
CA1000566,FOSTER FARMS - CEDAR HATCHERY,California,Non-Transient non-community system,55,2,Ground water,GW,Groundwater,GW
CA0707900,EBRPD MORGAN TERRITORY,California,Transient non-community system,57,1,Ground water,GW,Groundwater,GW
CA3410018,RIO LINDA/ELVERTA COMMUNITY WATER DIST,California,Community water system,"15,404",4656,Ground water,GW,Groundwater,GW
CA1200823,ANGELINA,California,Transient non-community system,300,2,Ground water,GW,Groundwater,GW
CA4810040,EASTERLY WWTP - VACAVILLE,California,Non-Transient non-community system,70,1,Ground water,GW,Groundwater,GW
CA4910007,"SEA RANCH WATER COMPANY,THE (PUC)",California,Community water system,"1,160",1935,Surface water,SW,Surface water,SW
CA4900575,LOCH HAVEN MUTUAL WATER COMPANY,California,Community water system,26,12,Ground water,GW,Groundwater,GW
CA2801007,CLOS PEGASE WINERY,California,Non-Transient non-community system,155,3,Ground water,GW,Groundwater,GW
CA4901409,SCRIBE WINERY,California,Transient non-community system,62,4,Ground water,GW,Groundwater,GW
CA1700733,JITTER BEAN COFFEE,California,Transient non-community system,160,1,Ground water,GW,Groundwater,GW
CA0105019,SUNOL SUPER STOP,California,Transient non-community system,155,1,Ground water,GW,Groundwater,GW
CA4200974,MAIN STREET PRODUCE,California,Non-Transient non-community system,45,7,Ground water,GW,Groundwater,GW
CA5400637,BUCKEYE TREE LODGE,California,Transient non-community system,35,2,Surface water,SW,Surface water,SW
CA5400644,SEQUOIA VILLAGE INN,California,Transient non-community system,30,11,Surface water,SW,Surface water,SW
CA1700592,KONOCTI SHORES,California,Community water system,277,99,Ground water,GW,Groundwater,GW
CA4400572,FERN GROVE WATER CLUB,California,Community water system,187,67,Ground water,GW,Groundwater,GW
CA3601170,THE RED HEN,California,Transient non-community system,61,6,Ground water,GW,Groundwater,GW
CA4500104,SUNRISE MOBILEHOME PARK,California,Community water system,37,16,Ground water,GW,Groundwater,GW
CA3010097,MIDWAY CITY MUTUAL WC,California,Community water system,"1,305",198,Ground water,GW,Groundwater,GW
CA5402041,BIG B TRAVEL CENTER 2,California,Transient non-community system,60,1,Ground water,GW,Groundwater,GW
CA5403126,FAMILY EDUCATION CENTER,California,Non-Transient non-community system,50,7,Ground water,GW,Groundwater,GW
CA5403131,SUNNY ACRES PRESCHOOL,California,Non-Transient non-community system,50,1,Ground water,GW,Groundwater,GW
CA1010052,SIERRA CEDARS CSD,California,Community water system,850,233,Ground water,GW,Groundwater,GW
CA5500040,BLUEBELL VALLEY MWC,California,Community water system,282,94,Ground water,GW,Groundwater,GW
CA3710039,PINE VALLEY MUTUAL WC,California,Community water system,"2,645",721,Ground water,GW,Groundwater,GW
CA3610018,CUCAMONGA VALLEY WATER DISTRICT,California,Community water system,"203,882",48409,Surface water,SW,Surface water,SW
CA1500491,INTERSTATE 5 UTILITY COMPANY,California,Non-Transient non-community system,"2,947",21,Ground water,GW,Groundwater,GW
CA4010011,MORRO BAY PW DEPT - WATER DIVISION,California,Community water system,"13,757",5892,Surface water purchased,SWP,Surface water,SW
CA3601108,HOLLAND BURGER CAFE,California,Transient non-community system,100,3,Ground water,GW,Groundwater,GW
CA4000823,ARONHILL VINEYARD,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA4000818,"NINER WINE ESTATES, LLC",California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA4000214,BARON CANYON MUTUAL WATER CO.,California,Community water system,81,25,Ground water,GW,Groundwater,GW
CA5700616,INN AT PARK WINTERS,California,Transient non-community system,42,3,Ground water,GW,Groundwater,GW
CA4000815,LAS VENTANAS RANCH,California,Community water system,108,36,Ground water,GW,Groundwater,GW
CA0707553,RIVERVIEW MOBILE HOME PARK,California,Community water system,126,45,Ground water,GW,Groundwater,GW
CA2300646,BELLA SHORES MOBILE HOME PARK,California,Community water system,80,60,Ground water,GW,Groundwater,GW
CA3400267,BATES ELEMENTARY SCHOOL,California,Non-Transient non-community system,375,10,Ground water,GW,Groundwater,GW
CA5800576,SUPER POWER MART,California,Transient non-community system,102,2,Ground water,GW,Groundwater,GW
CA3107334,KINGVALE H2O,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA4000805,CALLENDER GROVE MUTUAL WATER,California,Community water system,126,37,Ground water,GW,Groundwater,GW
CA4000853,GRAN CIELO MUTUAL WATER COMPANY,California,Community water system,160,42,Ground water,GW,Groundwater,GW
CA4000722,"FIERO LANE WATER COMPANY, INC.",California,Non-Transient non-community system,324,98,Surface water purchased,SWP,Surface water,SW
CA5500080,TWAIN HARTE VALLEY MWC,California,Community water system,202,106,Surface water,SW,Surface water,SW
CA4010008,PISMO BEACH WATER DEPARTMENT,California,Community water system,"8,036",5335,Surface water purchased,SWP,Surface water,SW
CA5700508,OLD SUGAR MILL WINERY,California,Non-Transient non-community system,50,6,Ground water,GW,Groundwater,GW
CA5700506,ROAD TRIP BAR & GRILL,California,Transient non-community system,120,2,Ground water,GW,Groundwater,GW
CA4400904,CASSIN RANCH (DRISCOLL'S),California,Non-Transient non-community system,30,8,Ground water,GW,Groundwater,GW
CA4400668,SUNNY ACRES MWC,California,Transient non-community system,50,8,Ground water,GW,Groundwater,GW
CA3510004,AROMAS WATER DISTRICT,California,Community water system,"2,988",956,Ground water,GW,Groundwater,GW
CA1700609,LAZY S MOBILE RANCH,California,Community water system,73,24,Surface water,SW,Surface water,SW
CA3301044,HIDDEN VALLEY NATURE CENTER,California,Transient non-community system,"1,210",5,Ground water,GW,Groundwater,GW
CA3601037,PARRISH RANCH,California,Transient non-community system,25,8,Ground water,GW,Groundwater,GW
CA1300685,BRANDT CATTLE,California,Non-Transient non-community system,50,1,Surface water,SW,Surface water,SW
CA1000182,BURREL UNION ELEMENTARY SCHOOL,California,Non-Transient non-community system,181,2,Ground water,GW,Groundwater,GW
CA5800844,MJUSD BROWNS VALLEY SCHOOL,California,Non-Transient non-community system,155,5,Ground water,GW,Groundwater,GW
CA5800840,MJUSD CORDUA SCHOOL,California,Non-Transient non-community system,110,3,Ground water,GW,Groundwater,GW
CA5800845,MJUSD DOBBINS SCHOOL,California,Non-Transient non-community system,85,3,Ground water,GW,Groundwater,GW
CA5800843,MJUSD FOOTHILL INTERMEDIATE SCHOOL,California,Non-Transient non-community system,325,2,Ground water,GW,Groundwater,GW
CA5800847,MJUSD LOMA RICA SCHOOL,California,Non-Transient non-community system,150,6,Ground water,GW,Groundwater,GW
CA1700731,BRASSFIELD ESTATE WINERY,California,Transient non-community system,54,8,Ground water,GW,Groundwater,GW
CA0707644,EBRPD ALHAMBRA,California,Transient non-community system,115,5,Ground water,GW,Groundwater,GW
CA0707643,EBRPD OLD BRIONES REGIONAL PARK,California,Transient non-community system,47,1,Ground water,GW,Groundwater,GW
CA0707502,EBRPD BLACK DIAMOND MINES,California,Transient non-community system,74,4,Ground water,GW,Groundwater,GW
CA0706112,EBRPD ROUND VALLEY WATER SYSTEM,California,Transient non-community system,82,1,Ground water,GW,Groundwater,GW
CA0706111,EBRPD LITTLE HILLS,California,Transient non-community system,66,3,Ground water,GW,Groundwater,GW
CA0708000,EBRPD BAY POINT REGIONAL SHORELINE,California,Transient non-community system,105,1,Ground water,GW,Groundwater,GW
CA0105010,EBRPD - DEL VALLE REGIONAL PARK,California,Transient non-community system,"9,024",44,Surface water,SW,Surface water,SW
CA0105012,EBRPD - SUNOL REGIONAL WILDERNESS,California,Transient non-community system,91,4,Ground water,GW,Groundwater,GW
CA0105013,EBRPD - PIEDMONT STABLES,California,Transient non-community system,45,2,Ground water,GW,Groundwater,GW
CA5700784,GRACE VALLEY CHRISTIAN CENTER,California,Non-Transient non-community system,304,4,Ground water,GW,Groundwater,GW
CA4900570,PALOMINO LAKES MUTUAL WATER CO.,California,Community water system,300,111,Ground water,GW,Groundwater,GW
CA4900680,HORICON SCHOOL,California,Non-Transient non-community system,100,4,Surface water,SW,Surface water,SW
CA4300521,KENNON WATER COMPANY,California,Community water system,142,43,Surface water purchased,SWP,Surface water,SW
CA1700739,MENDO MILL AND LUMBER COMPANY,California,Non-Transient non-community system,48,1,Ground water,GW,Groundwater,GW
CA4400543,R A FARMS,California,Non-Transient non-community system,48,5,Ground water,GW,Groundwater,GW
CA5200010,WOODSON BRIDGE RV PARK,California,Community water system,45,46,Ground water,GW,Groundwater,GW
CA2300743,DOLPHIN ISLE MARINA,California,Community water system,560,86,Ground water,GW,Groundwater,GW
CA4301004,EMERALD VALLEY MUTUAL WATER COMPANY,California,Community water system,43,13,Ground water,GW,Groundwater,GW
CA5403110,SIERRA MUTUAL WATER COMPANY,California,Community water system,37,16,Ground water,GW,Groundwater,GW
CA4901437,ZIALENA WINERY,California,Transient non-community system,30,2,Ground water,GW,Groundwater,GW
CA2600622,SIERRA EAST HOA,California,Community water system,84,30,Ground water,GW,Groundwater,GW
CA4301013,ROCKWOOD ESTATES MUTUAL WATER COMPANY,California,Community water system,30,11,Ground water,GW,Groundwater,GW
CA1000059,MUSICK HEIGHTS MUTUAL,California,Transient non-community system,44,27,Ground water,GW,Groundwater,GW
CA4300522,LAKE CANYON MUTUAL WATER COMPANY,California,Community water system,156,56,Surface water,SW,Surface water,SW
CA4400618,RIDGE MUTUAL WATER COMPANY,California,Community water system,213,76,Surface water purchased,SWP,Surface water,SW
CA4400558,SAN ANDREAS MUTUAL WATER CO,California,Community water system,378,135,Ground water,GW,Groundwater,GW
CA4400662,SANTA CRUZ MOUNTAIN PURE WC,California,Transient non-community system,28,2,Ground water,GW,Groundwater,GW
CA5402050,MILK SPECIALTIES GLOBAL,California,Non-Transient non-community system,95,4,Ground water,GW,Groundwater,GW
CA3301330,INDIAN OAKS TRAILER PARK,California,Community water system,90,63,Ground water,GW,Groundwater,GW
CA3301100,CAMP RONALD MCDONALD FOR G.T.,California,Transient non-community system,202,32,Ground water,GW,Groundwater,GW
CA5000502,RESENDIZ FRUIT BARN,California,Transient non-community system,25,4,Ground water,GW,Groundwater,GW
CA1900008,HUTTOPIA PARADISE SPRINGS,California,Transient non-community system,302,58,Ground water,GW,Groundwater,GW
CA1400511,MEADOW LAKE APARTMENTS,California,Community water system,22,16,Ground water,GW,Groundwater,GW
CA2400226,HARRIS WOOLF ALMONDS-BALLICO,California,Non-Transient non-community system,65,3,Ground water,GW,Groundwater,GW
CA2300514,ELK COUNTY WATER DISTRICT,California,Community water system,380,99,Groundwater under influence of surface water,GU,Surface water,SW
CA0409189,DAUTERMAN WELL,California,Non-Transient non-community system,100,3,Ground water,GW,Groundwater,GW
CA0409195,CRAIN PARK WATER SYSTEM,California,Transient non-community system,40,1,Ground water,GW,Groundwater,GW
CA0300102,SCHMITZ WINES,California,Transient non-community system,25,2,Ground water,GW,Groundwater,GW
CA3400466,SUBWAY SANDWICH,California,Transient non-community system,100,1,Ground water,GW,Groundwater,GW
CA3400469,DILLARD STORE (SWS),California,Transient non-community system,50,1,Ground water,GW,Groundwater,GW
CA5200006,WAL*MART DIST. CTR/ECO RES,California,Non-Transient non-community system,"1,023",1,Ground water,GW,Groundwater,GW
CA5400647,YOKOHL MUTUAL WATER CO,California,Community water system,95,32,Ground water,GW,Groundwater,GW
CA1805005,SIERRA CASCADE NURSERY,California,Non-Transient non-community system,55,1,Ground water,GW,Groundwater,GW
CA4000747,HALFWAY STATION,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA2901528,HARMONY RIDGE MARKET,California,Transient non-community system,150,1,Ground water,GW,Groundwater,GW
CA3705075,BANDY CANYON RANCH CORP,California,Transient non-community system,250,19,Ground water,GW,Groundwater,GW
CA3705063,CITY OF SAN DIEGO - EL CAPITAN RESERVOIR,California,Transient non-community system,300,4,Ground water,GW,Groundwater,GW
CA3410027,CAL AM - SECURITY PARK,California,Non-Transient non-community system,102,31,Surface water purchased,SWP,Surface water,SW
CA3110150,CAL AM - WEST PLACER,California,Community water system,"7,412",2246,Surface water purchased,SWP,Surface water,SW
CA3410047,CAL AM - WALNUT GROVE,California,Community water system,650,197,Ground water,GW,Groundwater,GW
CA3410010,CAL AM - SUBURBAN ROSEMONT,California,Community water system,"53,882",16328,Surface water purchased,SWP,Surface water,SW
CA2010012,CAL AM - RAYMOND,California,Community water system,320,97,Ground water,GW,Groundwater,GW
CA3410017,CAL AM - PARKWAY,California,Community water system,"49,464",14989,Surface water purchased,SWP,Surface water,SW
CA3410013,CAL AM - LINCOLN OAKS,California,Community water system,"47,665",14444,Surface water purchased,SWP,Surface water,SW
CA3410023,CAL AM - FRUITRIDGE VISTA,California,Community water system,"15,220",4612,Surface water purchased,SWP,Surface water,SW
CA3410031,CAL AM - ANTELOPE,California,Community water system,"35,241",10679,Surface water purchased,SWP,Surface water,SW
CA3410045,CAL AM - ARDEN,California,Community water system,"3,970",1203,Surface water purchased,SWP,Surface water,SW
