PWS ID,PWS Name,Primacy Agency,PWS Type,Population Served Count,Service Connections Count,Primary Source,Primary Source Code,GW SW,GW SW Code
CA4901258,SONOMA LODGE,California,Non-Transient non-community system,300,2,Ground water,GW,Groundwater,GW
CA3701909,CUYAMACA OUTDOOR SCHOOL,California,Non-Transient non-community system,500,21,Ground water,GW,Groundwater,GW
CA1502615,"FRITO-LAY, INC. WATER SYSTEM",California,Non-Transient non-community system,900,5,Ground water,GW,Groundwater,GW
CA2010801,VALLEY STATE PRISON,California,Community water system,"3,147",74,Ground water,GW,Groundwater,GW
CA3600532,CAMP SKY MEADOWS,California,Transient non-community system,152,5,Ground water,GW,Groundwater,GW
CA4200872,VENTUCOPA,California,Transient non-community system,36,9,Ground water,GW,Groundwater,GW
CA5400526,"WESPAK, INC.",California,Non-Transient non-community system,53,6,Ground water,GW,Groundwater,GW
CA3600149,"OG INVESTMENTS, LLC",California,Transient non-community system,30,4,Ground water,GW,Groundwater,GW
CA4010016,LOS OSOS COMMUNITY SERVICES DISTRICT,California,Community water system,"7,086",2776,Ground water,GW,Groundwater,GW
CA3600386,FOOTHILL ESTATES MHP,California,Community water system,70,46,Ground water,GW,Groundwater,GW
CA1000190,LONE STAR SCHOOL,California,Non-Transient non-community system,700,6,Ground water,GW,Groundwater,GW
CA1000104,CENTERVILLE SCHOOL,California,Non-Transient non-community system,489,11,Ground water,GW,Groundwater,GW
CA2400055,"SAPUTO DAIRY FOODS USA, LLC",California,Non-Transient non-community system,320,1,Ground water,GW,Groundwater,GW
CA5200520,KIRKWOOD ELEMENTARY SCHOOL,California,Non-Transient non-community system,111,4,Ground water,GW,Groundwater,GW
CA2701897,BERRY DR WS #02,California,Community water system,50,19,Ground water,GW,Groundwater,GW
CA3901258,AT&T CALIFORNIA - UER47,California,Non-Transient non-community system,30,1,Ground water,GW,Groundwater,GW
CA3901086,PACIFIC BELL UE17L WATER SYSTEM,California,Non-Transient non-community system,150,1,Ground water,GW,Groundwater,GW
CA3610702,USMC YERMO ANNEX,California,Non-Transient non-community system,743,58,Ground water,GW,Groundwater,GW
CA3610701,USMC NEBO (BARSTOW),California,Community water system,"1,126",419,Ground water purchased,GWP,Groundwater,GW
CA1000533,THREE CROWNS ASSOCIATION,California,Non-Transient non-community system,25,24,Ground water,GW,Groundwater,GW
CA2000953,NORTH FORK COMMUNITY DEVELOPMENT COUNCIL,California,Non-Transient non-community system,25,4,Ground water,GW,Groundwater,GW
CA2701034,APPLE AVE WS #02,California,Community water system,75,18,Ground water,GW,Groundwater,GW
CA4210017,VANDENBERG VILLAGE COMM. SERV. DIST.,California,Community water system,"7,308",2577,Ground water,GW,Groundwater,GW
CA3901282,CBUSO DBA WOODBRIDGE WINERY,California,Non-Transient non-community system,150,11,Ground water,GW,Groundwater,GW
CA5304501,SALYER MUTUAL WC (FORMERLY RIVERVIEW AC),California,Community water system,231,70,Surface water,SW,Surface water,SW
CA1900527,CLEAR CREEK OUTDOOR EDUCATION CENTER,California,Transient non-community system,105,13,Ground water,GW,Groundwater,GW
CA3400172,TOKAY PARK WATER CO,California,Community water system,653,198,Ground water,GW,Groundwater,GW
CA4901461,K BARR DAUGHTERS WATER SYSTEM,California,Transient non-community system,37,2,Ground water,GW,Groundwater,GW
CA3200166,PG&E RODGERS FLAT SERVICE CENTER,California,Non-Transient non-community system,39,1,Ground water,GW,Groundwater,GW
CA5500125,MOTHER LODE MOBILE ESTATES,California,Community water system,210,75,Ground water,GW,Groundwater,GW
CA3600222,JUNIPER RIVIERA CWD,California,Community water system,924,280,Ground water,GW,Groundwater,GW
CA2702595,CACHAGUA COMM CTR WS,California,Non-Transient non-community system,33,2,Surface water,SW,Surface water,SW
CA2702322,CAPTAIN COOPER SCHOOL WS,California,Non-Transient non-community system,95,1,Groundwater under influence of surface water,GU,Surface water,SW
CA2702373,PHENEGER CREEK WS,California,Non-Transient non-community system,256,2,Groundwater under influence of surface water,GU,Surface water,SW
CA2702503,CARMEL VALLEY TENNIS CAMP WS,California,Transient non-community system,73,4,Ground water,GW,Groundwater,GW
CA2701681,EXXON STATION WS,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA0110006,CITY OF HAYWARD,California,Community water system,"162,954",36838,Surface water purchased,SWP,Surface water,SW
CA2208067,MID-BAGBY RECREATION AREA,California,Transient non-community system,32,15,Ground water,GW,Groundwater,GW
CA2208033,MID -HORSESHOE BEND REC AREA,California,Transient non-community system,323,75,Ground water,GW,Groundwater,GW
CA2209035,MID - BARRETT COVE,California,Transient non-community system,894,3,Ground water,GW,Groundwater,GW
CA2209063,MID - MC CLURE POINT REC AREA,California,Transient non-community system,337,3,Surface water,SW,Surface water,SW
CA2209065,MID - MC SWAIN REC AREA,California,Transient non-community system,324,2,Surface water,SW,Surface water,SW
CA2400315,MERCED FRUIT BARN,California,Transient non-community system,63,3,Ground water,GW,Groundwater,GW
CA4210013,SOLVANG WATER DIVISION,California,Community water system,"6,126",2106,Surface water purchased,SWP,Surface water,SW
CA2300620,SEAFOAM LODGE,California,Transient non-community system,56,24,Ground water,GW,Groundwater,GW
CA4900912,SALT & STONE RESTAURANT,California,Transient non-community system,80,2,Ground water,GW,Groundwater,GW
CA3301939,JEWEL DATE CO. INC.,California,Non-Transient non-community system,88,3,Ground water,GW,Groundwater,GW
CA3301373,OASIS DATE GARDENS,California,Non-Transient non-community system,832,4,Ground water,GW,Groundwater,GW
CA3301935,"BAGDASARIAN PACKING THERMAL, LLC",California,Non-Transient non-community system,250,3,Ground water,GW,Groundwater,GW
CA4200972,PEAKE RANCH,California,Transient non-community system,47,3,Ground water,GW,Groundwater,GW
CA2701446,LUCIA WS,California,Transient non-community system,50,1,Groundwater under influence of surface water,GU,Surface water,SW
CA2701297,CARMEL BY THE RIVER RV PARK WS,California,Transient non-community system,164,1,Ground water,GW,Groundwater,GW
CA2600530,CRYSTAL CRAG WATER & DEVELOPMENT ASSOC.,California,Transient non-community system,75,57,Surface water,SW,Surface water,SW
CA2701687,VALLEY OAKS MHP WS,California,Community water system,128,46,Ground water,GW,Groundwater,GW
CA2400307,CRESSEY STORE,California,Transient non-community system,26,1,Ground water,GW,Groundwater,GW
CA1200751,CHIMNEY TREE,California,Transient non-community system,200,4,Surface water,SW,Surface water,SW
CA3901304,ENCLAVE AT THE DELTA,California,Community water system,39,15,Ground water,GW,Groundwater,GW
CA1105007,"FARMERS BREWING CO.,LLC",California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA3303090,MISSION CREEK PRESERVE,California,Transient non-community system,30,1,Ground water,GW,Groundwater,GW
CA0300088,BLACK CHASM CAVERN,California,Transient non-community system,115,2,Ground water,GW,Groundwater,GW
CA4700663,"WEED GOLF CLUB, INC.",California,Transient non-community system,112,1,Ground water,GW,Groundwater,GW
CA2300958,PENNYROYAL FARM,California,Transient non-community system,37,3,Ground water,GW,Groundwater,GW
CA2702539,SCHEID VINEYARD WS,California,Non-Transient non-community system,105,2,Ground water,GW,Groundwater,GW
CA2702575,TREEBONES RESORT WS,California,Transient non-community system,25,32,Ground water,GW,Groundwater,GW
CA2702544,SANCTUARY BIBLE CHURCH WS,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA4900562,DIAMOND A MUTUAL WATER COMPANY,California,Community water system,640,194,Ground water,GW,Groundwater,GW
CA2300953,BOONVILLE HOTEL,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA2300954,OFFSTREET STUDIOS,California,Transient non-community system,25,8,Ground water,GW,Groundwater,GW
CA5100172,ENCINAL ELEMENTARY SCHOOL,California,Non-Transient non-community system,128,1,Ground water,GW,Groundwater,GW
CA1910079,"LYNWOOD-CITY, WATER DEPT.",California,Community water system,"66,967",9322,Surface water purchased,SWP,Surface water,SW
CA4700531,TENNANT C.S.D.,California,Community water system,75,102,Ground water,GW,Groundwater,GW
CA5800002,NORTH YUBA LITTLE LEAGUE,California,Transient non-community system,100,2,Ground water,GW,Groundwater,GW
CA3610009,BIGHORN - DESERT VIEW WATER AGENCY,California,Community water system,"3,347",1751,Ground water,GW,Groundwater,GW
CA5400737,ST ANTHONY'S RETREAT,California,Transient non-community system,130,3,Ground water,GW,Groundwater,GW
CA5210001,CITY OF CORNING,California,Community water system,"8,244",2438,Ground water,GW,Groundwater,GW
CA3900682,LOCKEFORD MOBILE HOME PARK WTR SYS,California,Community water system,123,43,Ground water,GW,Groundwater,GW
CA2400097,CRESSEY SCHOOL,California,Non-Transient non-community system,155,7,Ground water,GW,Groundwater,GW
CA5400757,USACE-HORSE CREEK CAMPGROUND,California,Transient non-community system,100,30,Ground water,GW,Groundwater,GW
CA5400755,USACE-KAWEAH RECREATION AREA,California,Transient non-community system,200,3,Ground water,GW,Groundwater,GW
CA5403137,USACE-SLICK ROCK DAY USE,California,Transient non-community system,100,2,Ground water,GW,Groundwater,GW
CA2000890,HOUNDS TOOTH INN,California,Transient non-community system,36,1,Ground water,GW,Groundwater,GW
CA2701152,FLORICULTURA PACIFIC WS,California,Non-Transient non-community system,82,2,Ground water,GW,Groundwater,GW
CA2700738,SAN MIGUEL WS #01,California,Community water system,100,34,Ground water,GW,Groundwater,GW
CA2701814,PRUNEDALE PLAZA WS,California,Transient non-community system,90,11,Ground water,GW,Groundwater,GW
CA2701956,PIONEER PLACE MWS,California,Community water system,64,22,Ground water,GW,Groundwater,GW
CA3710305,ANZA BORREGO SP - HORSE CAMP,California,Transient non-community system,31,1,Ground water,GW,Groundwater,GW
CA3710306,ANZA BORREGO SP - TAMARISK GROVE,California,Transient non-community system,65,2,Ground water,GW,Groundwater,GW
CA3710320,ANZA BORREGO SP - VALLECITO,California,Transient non-community system,31,1,Ground water,GW,Groundwater,GW
CA3710302,ANZA BORREGO SP - PALM CANYON,California,Transient non-community system,415,12,Ground water,GW,Groundwater,GW
CA1000367,SELMA HIGH SCHOOL,California,Non-Transient non-community system,"2,225",21,Ground water,GW,Groundwater,GW
CA3400448,SAN ANDREAS RV PARK,California,Transient non-community system,30,22,Ground water,GW,Groundwater,GW
CA3710800,PUERTA LA CRUZ CC #14,California,Community water system,125,6,Ground water,GW,Groundwater,GW
CA2800060,BENNETT LANE WINERY,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA3610110,ARROWBEAR PARK CWD,California,Community water system,"1,856",957,Ground water,GW,Groundwater,GW
CA2801010,COSENTINO WINERY,California,Transient non-community system,65,1,Ground water,GW,Groundwater,GW
CA5610007,OXNARD WATER DEPT,California,Community water system,"200,232",42733,Surface water purchased,SWP,Surface water,SW
CA0707556,SANDMOUND MUTUAL,California,Community water system,100,110,Ground water,GW,Groundwater,GW
CA0103041,TRAILER HAVEN MOBILE HOME PARK,California,Community water system,459,191,Surface water purchased,SWP,Surface water,SW
CA1300668,ALLIED WASTE OF IMPERIAL VALLEY,California,Non-Transient non-community system,45,2,Surface water,SW,Surface water,SW
CA2800587,DUFFY'S NAPA VALLEY REHAB,California,Transient non-community system,100,10,Ground water,GW,Groundwater,GW
CA4901143,SENECA FAMILY OF AGENCIES,California,Non-Transient non-community system,30,5,Ground water,GW,Groundwater,GW
CA5410050,ALPAUGH COMMUNITY SERVICES DISTRICT,California,Community water system,871,372,Ground water,GW,Groundwater,GW
CA4210011,CITY OF SANTA MARIA UTILITIES DEPARTMENT,California,Community water system,"109,477",22664,Surface water purchased,SWP,Surface water,SW
CA5500090,DARDANELLES RESORT,California,Transient non-community system,42,34,Ground water,GW,Groundwater,GW
CA2300826,MANCHESTER UNION ELEMENTARY SCHOOL,California,Non-Transient non-community system,75,1,Ground water,GW,Groundwater,GW
CA4901244,HUMANE SOCIETY OF SONOMA COUNTY,California,Non-Transient non-community system,37,3,Ground water,GW,Groundwater,GW
CA0900535,PINEWOOD INN,California,Transient non-community system,71,1,Ground water,GW,Groundwater,GW
CA4200630,LOS PRIETOS BOY'S CAMP,California,Non-Transient non-community system,40,7,Ground water,GW,Groundwater,GW
CA4200618,MIDLAND SCHOOL,California,Community water system,150,49,Ground water,GW,Groundwater,GW
CA4500063,CEDAR CREEK MOBILEHOME PARK,California,Community water system,40,20,Ground water,GW,Groundwater,GW
CA2700606,HIDDEN VIEWS MHP WS,California,Community water system,65,31,Ground water,GW,Groundwater,GW
CA0707542,CONCORD MT DIABLO TRAILRIDE ASSOC.,California,Transient non-community system,120,14,Ground water,GW,Groundwater,GW
CA1700527,MOUNTAIN OF ATTENTION WATER,California,Community water system,40,26,Ground water,GW,Groundwater,GW
CA2701837,MERIDIAN RD WS #09,California,Non-Transient non-community system,37,5,Ground water,GW,Groundwater,GW
CA2702551,LOMA VISTA INN WS,California,Transient non-community system,70,6,Ground water,GW,Groundwater,GW
CA3200098,BUCKS LAKE CAMP AND RV PARK,California,Transient non-community system,35,1,Ground water,GW,Groundwater,GW
CA0300036,BEAR RIVER LAKE RESORT,California,Transient non-community system,571,143,Ground water,GW,Groundwater,GW
CA5800915,BENZEEN AUTO PARTS,California,Non-Transient non-community system,45,4,Ground water,GW,Groundwater,GW
CA3500550,SAN JUSTO MUTUAL WATER COMPANY,California,Community water system,160,61,Ground water,GW,Groundwater,GW
CA2701820,CORDA RD WS,California,Community water system,54,19,Ground water,GW,Groundwater,GW
CA3500836,BETABEL RV RESORT,California,Community water system,49,176,Ground water,GW,Groundwater,GW
CA0707597,SANDY POINT MOBILE HOME PARK,California,Community water system,67,24,Ground water,GW,Groundwater,GW
CA3600597,PALI OVERNIGHT ADVENTURES,California,Non-Transient non-community system,754,43,Ground water,GW,Groundwater,GW
CA4600009,"SIERRA CSA #5, SIERRA BROOKS",California,Community water system,726,224,Ground water,GW,Groundwater,GW
CA5000516,COVENANT GROVE CHURCH,California,Transient non-community system,300,2,Ground water,GW,Groundwater,GW
CA0400150,SUNSET MOULDING CHICO,California,Non-Transient non-community system,41,2,Ground water,GW,Groundwater,GW
CA3400202,"THE NEW WRANGLER, INC",California,Transient non-community system,50,1,Ground water,GW,Groundwater,GW
CA4300912,MECCHI WATER COMPANY,California,Community water system,104,27,Ground water,GW,Groundwater,GW
CA0706049,BYRON ROADHOUSE,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA1000454,VIKING RV PARK,California,Transient non-community system,93,50,Ground water,GW,Groundwater,GW
CA1700596,BLUE LAKES VILLAGE,California,Community water system,65,44,Ground water,GW,Groundwater,GW
CA3110020,OLYMPIC VALLEY PSD,California,Community water system,"1,165",897,Ground water,GW,Groundwater,GW
CA2500521,THE ONEY FROSTY IN TOWN,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA5800810,BIBLE BAPTIST ACADEMY,California,Non-Transient non-community system,45,4,Ground water,GW,Groundwater,GW
CA2701742,CALIFORNIA ORCHARD WS,California,Community water system,150,50,Ground water,GW,Groundwater,GW
CA2701403,PINE ST WS #01,California,Community water system,36,17,Ground water,GW,Groundwater,GW
CA2702609,SAN SABA WINERY WS,California,Transient non-community system,29,1,Ground water,GW,Groundwater,GW
CA2701630,PRUNEDALE CHEVRON WS,California,Transient non-community system,35,1,Ground water,GW,Groundwater,GW
CA2700998,BUD ANTLE MARINA WS,California,Non-Transient non-community system,151,4,Ground water,GW,Groundwater,GW
CA5000346,NINO'S PLACE WATER SYSTEM,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA5000008,KNIGHTS FERRY COMM. SVC. DIST.,California,Community water system,168,67,Surface water,SW,Surface water,SW
CA2800971,FOLEY JOHNSON WINERY,California,Transient non-community system,37,1,Ground water,GW,Groundwater,GW
CA1800560,MOUNTAIN MEADOW RANCH,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA2801002,ETUDE WINES,California,Non-Transient non-community system,50,1,Ground water,GW,Groundwater,GW
CA1910200,SUBURBAN WATER SYSTEMS-COVINA KNOLLS,California,Community water system,"1,437",496,Surface water purchased,SWP,Surface water,SW
CA1910046,SUBURBAN WATER SYSTEMS-GLENDORA,California,Community water system,"5,249",1548,Surface water purchased,SWP,Surface water,SW
CA1910059,SUBURBAN WATER SYSTEMS-LA MIRADA,California,Community water system,"56,793",15309,Ground water,GW,Groundwater,GW
CA1910205,SUBURBAN WATER SYSTEMS-SAN JOSE,California,Community water system,"168,843",40233,Surface water purchased,SWP,Surface water,SW
CA1910174,SUBURBAN WATER SYSTEMS-WHITTIER,California,Community water system,"66,045",18056,Ground water,GW,Groundwater,GW
CA1910147,SUBURBAN WATER SYSTEMS - SATIVA,California,Community water system,"4,339",1315,Surface water purchased,SWP,Surface water,SW
CA2801008,ARTESA VINEYARDS & WINERY,California,Non-Transient non-community system,76,2,Ground water,GW,Groundwater,GW
CA5610056,VINEYARD AVE ESTATES MWC,California,Community water system,"1,200",342,Surface water purchased,SWP,Surface water,SW
CA1700674,WALNUT COVE MOBILE ESTATES,California,Community water system,200,60,Ground water,GW,Groundwater,GW
CA0810500,LAGOON CREEK-REDWOOD NP,California,Transient non-community system,60,1,Ground water,GW,Groundwater,GW
CA3303026,GRANITE CONSTRUCTION COMPANY,California,Non-Transient non-community system,40,5,Ground water,GW,Groundwater,GW
CA1200643,BEACH CREEK MOBILE HOME PARK,California,Community water system,67,24,Surface water,SW,Surface water,SW
CA4400704,BOULDER CREEK SCOUT RESERV.,California,Transient non-community system,301,4,Ground water,GW,Groundwater,GW
CA3200104,GRIZZLY LAKE CSD-DELLEKER,California,Community water system,"1,314",351,Ground water,GW,Groundwater,GW
CA3200107,GRIZZLY LAKE CSD-CROCKER/WELCH,California,Community water system,215,73,Ground water,GW,Groundwater,GW
CA4410010,SANTA CRUZ WATER DEPARTMENT,California,Community water system,"95,017",25429,Surface water,SW,Surface water,SW
CA4400912,LOCH LOMOND REC AREA SANTA CRUZ WD,California,Transient non-community system,50,1,Surface water purchased,SWP,Surface water,SW
CA1910049,"HUNTINGTON PARK-CITY, WATER DEPT.",California,Community water system,"15,275",5608,Surface water purchased,SWP,Surface water,SW
CA0900562,HEATHER LAKE ROAD TRACT,California,Transient non-community system,39,13,Ground water,GW,Groundwater,GW
CA0900623,TAHOE TRAVEL INN,California,Transient non-community system,104,3,Ground water,GW,Groundwater,GW
CA0900553,BEVERLY LODGE,California,Transient non-community system,25,2,Ground water,GW,Groundwater,GW
CA1907014,NORTH TRAILS MUTUAL WATER COMPANY,California,Community water system,100,49,Ground water,GW,Groundwater,GW
CA3200130,PRATTVILLE WATER ASSN,California,Transient non-community system,40,34,Ground water,GW,Groundwater,GW
CA5401082,"VENTURA COASTAL, LLC - VISALIA DIVISION",California,Non-Transient non-community system,120,5,Ground water,GW,Groundwater,GW
CA5403119,"VENTURA COASTAL, LLC - TIPTON DIVISION",California,Non-Transient non-community system,130,6,Ground water,GW,Groundwater,GW
CA2801029,PINE RIDGE WINERY,California,Non-Transient non-community system,75,2,Ground water,GW,Groundwater,GW
CA2800736,DOMAINE CHANDON,California,Non-Transient non-community system,200,6,Ground water,GW,Groundwater,GW
CA3200123,BOURBON & WATER CO,California,Transient non-community system,25,40,Ground water,GW,Groundwater,GW
CA4901278,CLINE CELLARS,California,Non-Transient non-community system,500,8,Ground water,GW,Groundwater,GW
CA4901310,JACUZZI WINERY,California,Transient non-community system,108,2,Ground water,GW,Groundwater,GW
CA0105020,ALAMEDA COUNTY FAIRGROUNDS,California,Non-Transient non-community system,82,33,Ground water,GW,Groundwater,GW
CA1000053,LANARE COMMUNITY SERVICES DIST,California,Community water system,528,158,Ground water,GW,Groundwater,GW
CA0910019,LAKESIDE PARK ASSOCIATION,California,Community water system,"2,648",142,Surface water,SW,Surface water,SW
CA1500478,"VALLEY ESTATES POA, INC.",California,Community water system,386,117,Ground water,GW,Groundwater,GW
CA2902326,DEW DROP INN,California,Transient non-community system,50,1,Ground water,GW,Groundwater,GW
CA5800874,SHOP & SAVE,California,Transient non-community system,35,2,Ground water,GW,Groundwater,GW
CA1503669,NORTH KRANENBURG WS,California,Community water system,28,9,Ground water,GW,Groundwater,GW
CA3900978,SJ COUNTY-REDWOOD SCHOOL,California,Non-Transient non-community system,83,1,Ground water,GW,Groundwater,GW
CA4901401,LANCASTER ESTATE WINERY,California,Transient non-community system,45,3,Ground water,GW,Groundwater,GW
CA1300653,BORNT 1992 IRREVOCABLE TRUST,California,Non-Transient non-community system,30,5,Surface water,SW,Surface water,SW
CA2210942,LDS CHURCH MARIPOSA,California,Transient non-community system,65,2,Ground water,GW,Groundwater,GW
CA2400327,LDS CHURCH MERCED,California,Transient non-community system,257,1,Ground water,GW,Groundwater,GW
CA2400234,LDS CHURCH ATWATER,California,Transient non-community system,300,1,Ground water,GW,Groundwater,GW
CA1000609,AUBERRY LDS CHURCH,California,Transient non-community system,192,1,Ground water,GW,Groundwater,GW
CA1009051,"CANTUA CREEK VINEYARDS, IV, LLC.",California,Community water system,52,16,Ground water,GW,Groundwater,GW
CA1700554,LAKE COUNTY CSA 13 - KONO TAYEE,California,Community water system,469,142,Ground water,GW,Groundwater,GW
CA1710018,LAKE COUNTY CSA 2 - SPRING VALLEY,California,Community water system,"1,624",492,Surface water,SW,Surface water,SW
CA1710021,LAKE COUNTY CSA 21 - NORTH LAKEPORT,California,Community water system,"4,241",1285,Surface water,SW,Surface water,SW
CA1710022,LAKE COUNTY CSA 20 - SODA BAY,California,Community water system,"2,003",607,Surface water,SW,Surface water,SW
CA0500026,CAMP LODESTAR,California,Transient non-community system,150,15,Ground water,GW,Groundwater,GW
CA1900304,DEL SUR GARDENS TRAILER PARK,California,Transient non-community system,55,20,Ground water,GW,Groundwater,GW
CA1010029,CITY OF SANGER,California,Community water system,"26,241",7033,Ground water,GW,Groundwater,GW
CA3601184,MOJAVE SOLAR PROJECT ALPHA POWER PLANT,California,Non-Transient non-community system,45,4,Ground water,GW,Groundwater,GW
CA3601185,MOJAVE SOLAR PROJECT BETA POWER PLANT,California,Non-Transient non-community system,45,4,Ground water,GW,Groundwater,GW
CA5400928,VISALIA SALES YARD,California,Transient non-community system,500,1,Ground water,GW,Groundwater,GW
CA3700912,YMCA CAMP MARSTON/RAINTREE,California,Non-Transient non-community system,310,21,Ground water,GW,Groundwater,GW
CA5402024,KINGS RIVER MARKET,California,Transient non-community system,74,2,Ground water,GW,Groundwater,GW
CA1901002,MOUNT KARE CAMP/KARE YOUTH LEAGUE,California,Transient non-community system,59,7,Ground water,GW,Groundwater,GW
CA1502691,WILDLAND TRAINING CENTER,California,Non-Transient non-community system,130,1,Ground water,GW,Groundwater,GW
CA1000377,ST NICHOLAS RANCH & RETREAT,California,Non-Transient non-community system,78,2,Ground water,GW,Groundwater,GW
CA3600141,MITSUBISHI CEMENT PLANT CUSHENBURY,California,Non-Transient non-community system,160,1,Ground water,GW,Groundwater,GW
CA3103283,"ROLLINS LAKE RESORT, LONG RAVINE",California,Transient non-community system,161,8,Ground water,GW,Groundwater,GW
CA4800801,NEIL'S SERVICE CENTER,California,Non-Transient non-community system,170,30,Ground water,GW,Groundwater,GW
CA3107342,LINCOLN HIGH SCHOOL FARM,California,Non-Transient non-community system,50,1,Ground water,GW,Groundwater,GW
CA3100014,BAKER RANCH WATER CORP,California,Community water system,150,31,Ground water,GW,Groundwater,GW
CA2800297,MAXVILLE LAKE WINERY,California,Transient non-community system,36,4,Ground water,GW,Groundwater,GW
CA0610002,CITY OF COLUSA,California,Community water system,"6,447",2276,Ground water,GW,Groundwater,GW
CA2701922,NATIVIDAD RD WS #02,California,Non-Transient non-community system,35,3,Ground water,GW,Groundwater,GW
CA1010025,CITY OF PARLIER,California,Community water system,"14,576",2688,Ground water,GW,Groundwater,GW
CA3200152,WHISPERING PINES RV & MHP,California,Transient non-community system,60,2,Ground water,GW,Groundwater,GW
CA4100603,COSTANOA CAMPGROUND,California,Non-Transient non-community system,583,96,Ground water,GW,Groundwater,GW
CA3910027,CITY OF MOUNTAIN HOUSE,California,Community water system,"24,235",7334,Surface water,SW,Surface water,SW
CA4901366,LAURA CHENEL'S CHEVRE INC.,California,Non-Transient non-community system,50,2,Ground water,GW,Groundwater,GW
CA5000606,ZANSCO,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA0600003,GRIMES BOAT AND LANDING,California,Transient non-community system,50,1,Ground water,GW,Groundwater,GW
CA2400085,FIREBAUGH TRAVEL PLAZA (SW),California,Transient non-community system,250,2,Surface water,SW,Surface water,SW
CA4200944,THE RANCH CHURCH,California,Transient non-community system,204,5,Ground water,GW,Groundwater,GW
CA2300629,POMO CAMPGROUND,California,Transient non-community system,200,20,Ground water,GW,Groundwater,GW
CA5500148,CHINESE CAMP SCHOOL,California,Non-Transient non-community system,36,1,Ground water,GW,Groundwater,GW
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,California,Community water system,"9,600",3136,Surface water,SW,Surface water,SW
CA1910154,CITY OF SOUTH PASADENA,California,Community water system,"25,329",6131,Surface water purchased,SWP,Surface water,SW
CA1503305,EL TACO LOCO,California,Transient non-community system,300,1,Ground water,GW,Groundwater,GW
CA4000655,RINCONADA TRAILER PARK,California,Transient non-community system,10,15,Ground water,GW,Groundwater,GW
CA4200983,ARCTIC COLD,California,Non-Transient non-community system,623,1,Ground water,GW,Groundwater,GW
CA1503215,"FAMOSO RACEWAY, SMOKERS INC.",California,Transient non-community system,"5,000",4,Ground water,GW,Groundwater,GW
CA3410033,FLORIN COUNTY WATER DISTRICT,California,Community water system,"7,831",2404,Ground water,GW,Groundwater,GW
CA5201143,SIERRA PACIFIC INDUSTRIES - WINDOWS,California,Non-Transient non-community system,350,4,Ground water,GW,Groundwater,GW
CA2702254,PACIFIC VALLEY SCHOOL WS,California,Non-Transient non-community system,25,5,Ground water,GW,Groundwater,GW
CA2800074,ANTINORI CALIFORNIA,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA2400328,GARCIA FARMS PRODUCE,California,Transient non-community system,45,1,Ground water,GW,Groundwater,GW
CA0900560,FLL MUTUAL,California,Transient non-community system,100,41,Ground water,GW,Groundwater,GW
CA5000383,TAQUERIA RANCHO ALEGRE,California,Transient non-community system,26,2,Ground water,GW,Groundwater,GW
CA0500009,UNITED PARCEL SERVICE,California,Non-Transient non-community system,75,1,Ground water,GW,Groundwater,GW
CA3500913,"TAYLOR FARMS RETAIL, INC.",California,Non-Transient non-community system,"1,055",12,Ground water,GW,Groundwater,GW
CA1910019,"CERRITOS - CITY, WATER DEPT.",California,Community water system,"47,475",15664,Surface water purchased,SWP,Surface water,SW
CA2010018,PRESERVE AT MILLERTON LAKE WATER SYSTEM,California,Community water system,600,243,Ground water,GW,Groundwater,GW
CA5403214,THREE RIVERS HISTORICAL MUSEUM,California,Transient non-community system,25,2,Ground water,GW,Groundwater,GW
CA2301010,MENDOCINO PRESBYTERIAN CHURCH,California,Non-Transient non-community system,90,3,Ground water,GW,Groundwater,GW
CA3700003,WHISPERING WINDS CATHOLIC CONFERENCE CEN,California,Transient non-community system,162,20,Ground water,GW,Groundwater,GW
CA3705073,SAN YSIDRO HEALTH - MHFM,California,Non-Transient non-community system,30,1,Ground water,GW,Groundwater,GW
CA2800071,BELL WINE CELLARS,California,Transient non-community system,200,1,Ground water,GW,Groundwater,GW
CA2701946,MISIONERO VEGETABLES WS,California,Non-Transient non-community system,60,3,Ground water,GW,Groundwater,GW
CA2110502,NPS PRNS - BEACHES,California,Community water system,"1,560",7,Ground water,GW,Groundwater,GW
CA2110503,NPS PRNS - GLEN AND WILDCAT CAMPGROUNDS,California,Transient non-community system,"1,200",2,Ground water,GW,Groundwater,GW
CA2110505,NPS PRNS - SKY CAMP CAMPGROUND,California,Transient non-community system,75,2,Surface water purchased,SWP,Surface water,SW
CA2110010,NPS PRNS - FIVE BROOKS,California,Transient non-community system,365,6,Ground water,GW,Groundwater,GW
