,pwsid,health_5yr_count,health_5yr_count_no2ndary_mcl,health_5yr_count_no_2ndary_or_lsl,mr_5yr_count,mon_only_5yr_count,health_5yr_binary,health_5yr_no2ndary_mcl_binary,health_5yr_no2ndary_or_lsl_binary,mr_5yr_binary,mon_only_5yr_binary,pws_name,pws_type_code,gw_sw_code,primary_source_code,population_served_count,service_connections_count,carceral_sys
3659,CA5000049,0,0,0,0,0,0,0,0,0,0,LONE PINE MHP,CWS,GW,GW,64,32,other_water_systems
3660,CA5000054,0,0,0,0,0,0,0,0,0,0,MORNINGSIDE MOBILEHOME PARK,CWS,GW,GW,67,49,other_water_systems
3661,CA5000055,0,0,0,0,0,0,0,0,0,0,OLIVE LANE MOBILEHOME PARK,CWS,GW,GW,153,51,other_water_systems
3662,CA5000058,0,0,0,0,0,0,0,0,0,0,FISHERMAN'S BEND MHP,CWS,GW,GW,120,66,other_water_systems
3663,CA5000060,0,0,0,0,0,0,0,0,0,0,CASA DE AMIGOS MANUFACTURED HOUSING COMM,CWS,GW,GW,204,73,other_water_systems
3664,CA5000061,10,10,10,3,3,1,1,1,1,1,MARTIN'S MOBILE HOME COURT,CWS,GW,GW,60,20,other_water_systems
3665,CA5000067,0,0,0,0,0,0,0,0,0,0,TULLY MOBILE ESTATES,CWS,GW,GW,56,18,other_water_systems
3666,CA5000071,0,0,0,0,0,0,0,0,0,0,TWIN CYPRESS MOBILE HOME PARK,CWS,GW,GW,112,45,other_water_systems
3667,CA5000072,0,0,0,1,1,0,0,0,1,1,MULBERRY MHP,CWS,GW,GW,148,53,other_water_systems
3668,CA5000080,0,0,0,0,0,0,0,0,0,0,COUNTRY WESTERN MHRV,CWS,GW,GW,55,60,other_water_systems
3669,CA5000082,0,0,0,0,0,0,0,0,0,0,4N MOBILEHOME PARK,CWS,GW,GW,65,31,other_water_systems
3670,CA5000090,10,10,10,1,1,1,1,1,1,1,RIVERVIEW MOBILE HOME ESTATES,CWS,GW,GW,540,173,other_water_systems
3671,CA5000095,1,1,0,4,3,1,1,0,1,1,SUNRISE VILLAGE MHP,CWS,GW,GW,353,126,other_water_systems
3672,CA5000099,0,0,0,6,6,0,0,0,1,1,DEL RIO EAST HOA WATER SYSTEM,CWS,GW,GW,110,55,other_water_systems
3673,CA5000101,1,1,0,1,0,1,1,0,1,0,CHATOM SCHOOL (EH),NTNCWS,GW,GW,385,6,other_water_systems
3674,CA5000109,8,8,8,0,0,1,1,1,0,0,CERES UNIFIED/WESTPORT SCHOOL,NTNCWS,GW,GW,450,6,other_water_systems
3675,CA5000117,1,1,0,1,0,1,1,0,1,0,LAKEWOOD MEMORIAL PARK & FUNERAL HOME,NTNCWS,GW,GW,40,2,other_water_systems
3676,CA5000132,0,0,0,0,0,0,0,0,0,0,VALLEY HOME SCHOOL TEXAS,NTNCWS,GW,GW,80,1,other_water_systems
